Connection,E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,4.005753582241534,0.19902276258365578,-1.588712223110633e-10,0.199022762742527,-2.2589052613686688e-14,-2.7321878359903292e-15,-2.5321240449677014e-14,0.0019623153443463406,-1.8946274386712333e-13,-1.7558938058172227e-12
12,4.308174092325543,0.21404829127461372,8.852923361502007e-09,0.21404828242169036,1.9000942819147326e-06,3.1680598241629943,3.168061724257276,2962.1323976367703,204.26673466787483,204.26684873173028
13,18.725315236739387,0.9303527768625941,0.731330014120067,0.199022762742527,76.45706927790756,2.945671937214438,79.402741215122,1442.846961243763,204.266734667875,1177.8876203336588
21,419.14232105961946,103.7352323740593,0.35469061655440964,103.3805417575049,1.9717816046426058,135.88665436055652,137.85843596519913,382.1830136997279,90.36500390600858,91.36278554149175
22,756.7787675503108,187.2982454005619,58.22855119059858,129.06969420996333,76.53744964998116,169.65328897842386,246.19073862840503,90.36500390600818,90.3650039060085,90.3650039060084
22c,559.8154030168491,138.55098376064527,9.538880946828504,129.01210281381674,12.53820686342147,169.57758902551925,182.11579588894074,90.36500390600823,90.36500390600857,90.36500390600854
23,559.8154030168491,138.55098376064527,9.538880946828504,129.01210281381674,12.538206863421472,169.57758902551925,182.11579588894074,90.36500390600824,90.36500390600857,90.36500390600854
24,469.7246734381594,116.25406384101592,11.520890470486192,104.73317337052973,64.04646426647774,137.664596141007,201.71106040748472,382.18301369972767,90.36500390600861,119.28445168330468
31,1276.721738039868,85.80856528812025,41.392346475846075,44.41621881227417,242.48571688030177,201.3339298261734,443.81964670647517,109.3699472801084,84.62667420232547,96.56233737001926
32,2031.7203259459286,136.55207790523895,88.08628535699536,48.4657925482436,454.14430613883184,219.6902108466147,673.8345169854465,96.25370703758388,84.62667420232485,92.12697846640582
32c,1446.4393681639783,97.21530013968504,48.79397406833951,48.42132607134554,251.5658982237062,219.48864910230725,471.05454732601345,96.25370703758404,84.62667420232546,90.46247512913601
33,1446.4393681639783,97.21530013968504,48.79397406833951,48.42132607134554,251.5658982237062,219.48864910230725,471.05454732601345,96.25370703758404,84.62667420232546,90.46247512913601
34,1132.114225738324,76.08948336857027,31.646381448627565,44.44310191994271,163.15847451785416,201.45578805403662,364.6142625718908,96.25370703758381,84.62667420232547,89.46247410436938
41,59.03443267864294,59.03443267864294,58.93558268957684,0.09884998906610508,0.0,0.0,0.0,0.0,0.0,0.0
42,59.05417364395452,59.05417364395452,58.937793087585014,0.11638055636950606,0.3427901887615799,2.7186535876383693,3.0614437763999494,1.6155931854576722,6488.8979369035,14.400354734064473
43,619.8823227713206,619.8823227713206,619.7834727822544,0.09884998906610508,220.40627606128706,2.309138964410338,302.1181562408194,98.78283023221121,6488.8979369035,135.38329289937445
