Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,206.4,178.9,27.59,0,86.64,4.688,12.46,42.35,49.37,5.659,2.825,8.484,33.3,16.58,56.98,76.67
COMP2,200.6,171.4,29.24,0,85.42,4.969,13.21,40.02,49.04,5.833,4.577,10.41,43.97,22.55,55.41,79.49
IHX,208.8,174.1,34.74,0,83.37,5.903,15.69,49.19,57.63,8.182,3.156,11.34,27.84,40.54,65.43,91.95
MOT1,217.3,206.4,10.87,0,95,1.846,4.908,39.52,42.35,1.976,1.168,3.144,37.15,7.137,50.52,56.98
MOT2,211.2,200.6,10.56,0,95,1.794,4.77,38.41,40.02,1.92,0,1.92,0,4.182,50.52,55.41
SNK_HX,291.1,280.1,11,0,96.22,1.87,4.971,90.25,95.96,3.412,4.038,7.45,54.2,10.51,86.13,95.18
SRC_HX,72.96,52.5,20.46,0,71.96,3.477,9.242,-4.996e-14,5.377,-1.401e-14,2.264,2.264,100,inf,-1.902e-13,28.45
VAL1,22.53,,22.53,0,,3.829,10.18,5.559,,5.559,0,5.559,0,inf,68.54,
VAL2,54.39,,54.39,0,,9.243,24.57,16.42,,16.42,0,16.42,0,inf,83.84,
TOT,588.5,280.1,221.4,87.04,47.59,37.62,100,77.93,95.96,29.32,18.03,47.35,38.08,158.7,36.79,95.18
