Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,177.4,152.6,24.79,0,86.03,5.407,12.61,36.1,41.82,5.044,2.857,7.902,36.16,15.85,56.53,76.13
COMP2,183.8,156.2,27.57,0,85,6.013,14.02,36.31,44.24,5.446,4.747,10.19,46.57,21.85,54.87,78.66
IHX,191.7,158.6,33.08,0,82.74,7.215,16.83,43.07,49.93,7.432,3.035,10.47,29,40.1,62.42,87.44
MOT1,186.7,177.4,9.336,0,95,2.037,4.75,33.96,36.1,1.698,1.058,2.757,38.4,6.293,50.52,56.53
MOT2,193.5,183.8,9.674,0,95,2.11,4.921,35.19,36.31,1.76,0,1.76,0,3.177,50.52,54.87
SNK_HX,273.1,261.9,11.27,0,95.87,2.458,5.733,81.89,87.01,3.379,3.812,7.191,53.01,10.82,83.29,92.29
SRC_HX,78.24,54.91,23.33,0,70.18,5.089,11.87,-1.21e-14,5.04,-3.608e-15,2.344,2.344,100,inf,-4.296e-14,25.5
VAL1,15.83,,15.83,0,,3.452,8.052,3.793,,3.793,0,3.793,0,inf,66.57,
VAL2,41.71,,41.71,0,,9.098,21.22,12.28,,12.28,0,12.28,0,inf,81.76,
TOT,458.4,261.9,196.6,0,57.12,42.88,100,69.15,87.01,29.65,17.85,47.51,37.58,120.3,41.9,92.29
