Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg]
11,24.905884732627257,20.000000000012847,3.0000000000000004,84.19424925876591,296.4216479103904,4.956837984077572,0.19902276258365578,-1.588712223110633e-10,0.199022762742527
12,24.905884732627257,20.001115997730494,3.1500000000000004,84.21303115883883,296.4344617305574,5.331062069701354,0.21404829127461372,8.852923361502007e-09,0.21404828242169036
13,24.905884732627257,9.999999999997783,3.0000000000000004,42.312658505312875,151.05947575370618,23.171259021219456,0.9303527768625941,0.731330014120067,0.199022762742527
21,1.31904247444927,9.042017707093066,4.98060124329193,1625.2714478519163,6099.441700578863,292.7910896694793,221.97244997112486,0.5542279831863125,221.41822198793855
22,1.31904247444927,276.9066706366889,63.03187257656777,2210.1759930282437,6389.938708431054,951.9764291988415,721.7177972955823,419.9115346575668,301.8062626380154
22c,1.31904247444927,95.14706392957368,62.73187257656777,834.1173555634493,2975.1567954087477,457.3152939950903,346.70247763327694,44.94498613500875,301.7574914982682
23,1.31904247444927,95.14706392957368,62.73187257656777,834.1173555634493,2975.1567954087477,457.3152939950903,346.70247763327694,44.94498613500875,301.7574914982682
24,1.31904247444927,4.999999999997783,5.15560124329193,834.1173555634493,3239.795240274847,354.98561429159605,269.1237175207801,43.05694330530765,226.0667742154724
31,3.2101180808336225,95.0048964639135,51.16931074820178,1634.4064023257067,5185.525462322125,1601.9193834323235,499.02194968987794,199.1457257687333,299.87622392114463
32,3.2101180808336225,162.48672552991758,100.26666006840506,1754.7831478935407,5257.901494866919,1920.233766617455,598.1816613172053,290.3374201052906,307.8442412119147
32c,3.2101180808336225,125.21266209501397,100.01666006840506,1068.9817841516915,3562.5110589318197,1314.1709928262842,409.3840038697307,101.58020308363106,307.80380078609966
33,3.2101180808336225,125.21266209501397,100.01666006840506,1068.9817841516915,3562.5110589318197,1314.1709928262842,409.3840038697307,101.58020308363106,307.80380078609966
34,3.2101180808336225,90.14706392957356,51.31931074820178,1068.9817841516915,3628.716162628656,1251.8689371729622,389.9759777210031,90.07532901136577,299.9006487096374
41,1.0,120.21009132796223,2.0,504.7041850380444,1530.1740813513566,59.03443267864294,59.03443267864294,58.93558268957684,0.09884998906610508
42,1.0,120.21266209501312,2.1750000000000003,504.72738373191606,1530.1858764342837,59.05417364395452,59.05417364395452,58.937793087585014,0.11638055636950606
43,1.0,120.21009132796223,2.0,2706.230741339982,7126.894757487327,619.8823227713206,619.8823227713206,619.7834727822544,0.09884998906610508
