Connection,Kind,Energy Flow [kW],Exergy Flow [kW],C^TOT [EUR/h],c^TOT [EUR/GJ_ex]
e1,power,1011,1011,160.8,44.17
e2,power,431.6,431.6,68.62,44.17
e3,power,410,410,72.3,48.98
e4,power,579.2,579.2,92.09,44.17
e5,power,550.2,550.2,94.61,47.76
e6,power,0.5946,0.5946,0.09455,44.17
e7,power,0.5649,0.5649,0.09714,47.76
e8,power,0.02421,0.02421,0.00385,44.17
e9,power,0.023,0.023,0.003956,47.76
