Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,262.4,227.9,34.49,0,86.85,7.154,14.36,52.18,58.47,6.86,4.84,11.7,41.37,12.04,55.24,71.26
COMP2,163.7,138.3,25.34,0,84.52,5.256,10.55,31.7,38.48,4.907,5.721,10.63,53.83,21.4,53.8,77.27
IHX,189.6,140.8,48.78,0,74.28,10.12,20.3,63,66.57,16.21,1.53,17.74,8.626,42.27,92.29,131.3
MOT1,276.2,262.4,13.81,0,95,2.864,5.748,50.24,52.18,2.512,1.365,3.877,35.21,3.869,50.52,55.24
MOT2,172.3,163.7,8.614,0,95,1.787,3.585,31.33,31.7,1.567,0,1.567,0,1.152,50.52,53.8
SNK_HX,253.6,241.9,11.75,0,95.37,2.438,4.892,96.06,100.2,4.452,3.631,8.083,44.93,9.361,105.2,115.1
SRC_HX,45.72,3.649e-07,45.72,0,7.982e-07,9.483,19.03,12.29,15.73,12.29,1.52,13.81,11,inf,74.69,1.197e+10
VAL1,38.29,12.06,26.23,0,31.5,5.439,10.92,11.19,12.29,7.668,0,7.668,0,248.6,81.21,283.1
VAL2,25.53,,25.53,0,,5.295,10.63,8.996,,8.996,0,8.996,0,inf,97.87,
TOT,482.1,241.9,240.3,0,50.17,49.83,100,81.57,100.2,40.65,18.61,59.26,31.4,144.8,47,115.1
