Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,175.3,145.7,29.67,0,83.08,5.41,10.12,35.45,45.12,5.998,4.737,10.74,44.12,27.28,56.16,86.05
COMP2,343.4,290.2,53.22,0,84.5,9.706,18.15,68.76,86.75,10.66,9.129,19.79,46.14,26.15,55.62,83.03
IHX,84.59,59.78,24.8,0,70.68,4.523,8.461,26.2,34.18,7.683,3.852,11.54,33.4,84.58,86.05,158.8
MOT1,183.9,174.7,9.194,0,95,1.677,3.136,33.44,34.97,1.672,0,1.672,0,4.573,50.52,55.62
MOT2,361.5,343.4,18.08,0,95,3.296,6.166,65.76,68.76,3.288,0,3.288,0,4.573,50.52,55.62
SNK_HX,253.6,241.9,11.74,0,95.37,2.141,4.005,88.19,93.78,4.083,3.638,7.721,47.12,11.5,96.59,107.7
SRC_HX,32.05,10.34,21.71,0,32.26,3.958,7.404,23.17,28.95,15.69,2.178,17.87,12.19,287.4,200.8,778
VAL1,61.09,32.71,28.38,0,53.54,5.176,9.681,18.92,23.64,8.791,0,8.791,0,133.4,86.05,200.8
VAL2,96.38,,96.38,0,,17.58,32.87,32.74,,32.74,0,32.74,0,inf,94.35,
TOT,548.4,241.9,293.2,13.32,44.11,53.46,100,99.2,122.7,53.03,23.53,76.57,30.74,180.5,50.25,141
