Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,185.1,159,26.13,0,85.89,5.437,12.88,32.87,38.21,4.64,3.134,7.773,40.31,16.23,49.33,66.76
COMP2,182.9,154.7,28.19,0,84.59,5.866,13.9,31.43,38.62,4.843,4.818,9.661,49.87,22.89,47.72,69.33
IHX,175.1,135.7,39.45,0,77.48,8.209,19.45,39.35,43.83,8.863,1.156,10.02,11.54,43.76,62.41,89.72
MOT1,194.9,185.1,9.743,0,95,2.027,4.803,30.98,32.87,1.549,1.07,2.619,40.84,6.102,44.17,49.33
MOT2,192.6,182.9,9.628,0,95,2.004,4.747,30.62,31.43,1.531,0,1.531,0,2.649,44.17,47.72
SNK_HX,255.4,241.9,13.55,0,94.7,2.819,6.679,72.85,78.71,3.864,4.725,8.589,55.01,14.11,79.22,90.4
SRC_HX,57.32,30.69,26.64,0,53.53,5.544,13.13,0.005619,4.464,0.002611,2.214,2.217,99.88,1.483e+05,0.02723,40.41
VAL1,14.66,,14.66,0,,3.051,7.228,3.354,,3.354,0,3.354,0,inf,63.54,
VAL2,34.85,,34.85,0,,7.253,17.18,9.564,,9.564,0,9.564,0,inf,76.22,
TOT,480.5,241.9,202.8,35.82,50.33,42.21,100,61.6,78.71,26,17.12,43.12,39.7,153.9,35.61,90.4
