Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,228.4,192.1,36.29,0,84.11,7.039,14.31,46.38,58.55,7.369,4.166,11.54,36.12,26.25,56.41,84.67
COMP2,231.6,196.6,34.97,0,84.9,6.783,13.79,47.03,61.28,7.101,6.534,13.63,47.92,30.3,56.41,86.58
IHX,150.3,124.6,25.68,0,82.91,4.982,10.12,48.89,56.27,8.354,1.713,10.07,17.01,38.82,90.36,125.4
MOT1,240.4,228.4,12.02,0,95,2.332,4.739,43.72,46.38,2.186,0,2.186,0,6.067,50.52,56.41
MOT2,243.8,231.6,12.19,0,95,2.364,4.805,44.34,47.03,2.217,0,2.217,0,6.067,50.52,56.41
SNK_HX,272.9,261.9,11,0,95.97,2.134,4.337,100.4,106.4,4.046,3.573,7.619,46.9,10.43,102.2,112.8
SRC_HX,31.37,10.28,21.09,0,32.76,4.091,8.314,0,6.963,0,2.308,2.308,100,inf,0,188.2
VAL1,52.08,,52.08,0,,10.1,20.53,16.63,,16.63,0,16.63,0,inf,88.68,
VAL2,48.34,,48.34,0,,9.377,19.06,17.19,,17.19,0,17.19,0,inf,98.78,
TOT,515.5,261.9,253.7,0,50.8,49.2,100,88.06,106.4,43.33,18.29,61.62,29.69,137.8,47.45,112.8
