Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,257,215.8,41.22,0,83.96,8.423,16.65,52.1,66.15,8.357,5.222,13.58,38.46,26.96,56.31,85.15
COMP2,177,149.7,27.31,0,84.57,5.581,11.03,35.88,46.86,5.537,5.139,10.68,48.14,30.62,56.31,86.98
IHX,164.1,139,25.15,0,84.68,5.138,10.16,53.78,64.07,8.24,4.91,13.15,37.34,40.7,91.02,128.1
MOT1,270.5,257,13.53,0,95,2.764,5.465,49.21,52.1,2.46,0,2.46,0,5.884,50.52,56.31
MOT2,186.3,177,9.315,0,95,1.903,3.763,33.88,35.88,1.694,0,1.694,0,5.884,50.52,56.31
SNK_HX,253.7,241.9,11.86,0,95.33,2.422,4.79,98.21,104.5,4.589,3.732,8.321,44.85,11.6,107.5,120
SRC_HX,32.57,9.469,23.1,0,29.07,4.72,9.332,-8.197e-14,7.325,-5.813e-14,2.381,2.381,100,inf,-6.991e-13,214.9
VAL1,61.13,,61.13,0,,12.49,24.7,19.7,,19.7,0,19.7,0,inf,89.5,
VAL2,34.91,,34.91,0,,7.134,14.1,12.73,,12.73,0,12.73,0,inf,101.3,
TOT,489.4,241.9,247.5,0,49.42,50.58,100,83.09,104.5,42.03,21.38,63.41,33.72,154.4,47.16,120
