Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,177.4,152.6,24.79,0,86.03,4.589,12.61,31.69,37.05,4.428,2.808,7.237,38.81,16.91,49.62,67.44
COMP2,183.8,156.2,27.57,0,85,5.103,14.02,31.76,39.26,4.763,4.666,9.429,49.48,23.63,48,69.8
IHX,191.7,158.6,33.08,0,82.74,6.123,16.83,38.38,44.77,6.623,2.983,9.606,31.05,40.97,55.62,78.41
MOT1,186.7,177.4,9.336,0,95,1.728,4.75,29.69,31.69,1.484,1.04,2.525,41.2,6.74,44.17,49.62
MOT2,193.5,183.8,9.674,0,95,1.791,4.921,30.76,31.76,1.538,0,1.538,0,3.236,44.17,48
SNK_HX,273.1,261.9,11.27,0,95.87,2.086,5.733,73.09,78,3.016,3.747,6.763,55.41,11.31,74.34,82.74
SRC_HX,78.24,54.91,23.33,0,70.18,4.319,11.87,8.743e-14,4.705,2.607e-14,2.304,2.304,100,inf,3.104e-13,23.8
VAL1,15.83,,15.83,0,,2.93,8.052,3.373,,3.373,0,3.373,0,inf,59.2,
VAL2,41.71,,41.71,0,,7.721,21.22,10.94,,10.94,0,10.94,0,inf,72.84,
TOT,540.2,261.9,196.6,81.76,48.48,36.39,100,60.45,78,22,17.55,39.55,44.37,166.2,31.09,82.74
