Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg]
11,23.74106438484358,20.000000000012847,3.0000000000000004,84.19424925876591,296.4216479103904,4.72501222054801,0.19902276258365578,-1.588712223110633e-10,0.199022762742527
12,23.74106438484358,20.001115997730494,3.1500000000000004,84.21303115883883,296.4344617305574,5.081734264616356,0.21404829127461372,8.852923361502007e-09,0.21404828242169036
13,23.74106438484358,9.999999999997783,3.0000000000000004,42.312658505312875,151.05947575370618,22.087565176112857,0.9303527768625941,0.731330014120067,0.199022762742527
21,1.1694143747073422,9.042017707093066,4.98060124329193,1625.2714478519163,6099.441700578863,259.5777737852398,221.97244997112486,0.5542279831863125,221.41822198793855
22,1.1694143747073422,251.64654774256576,51.59712333037829,2152.1596450868533,6373.2014614714735,781.8797750214225,668.607973300393,368.6620891798688,299.94588412052417
22c,1.1694143747073422,85.1260547967774,51.297123330378284,774.6239216786146,2817.9064011629393,389.7739932737146,333.306996821601,33.40996089975588,299.89703592184514
23,1.1694143747073422,85.1260547967774,51.297123330378284,774.6239216786146,2817.9064011629393,389.7739932737146,333.306996821601,33.40996089975588,299.89703592184514
24,1.1694143747073422,4.999999999997783,5.15560124329193,774.6239216786146,3025.905490554066,318.4690300623694,272.33206376659217,46.265289551119785,226.0667742154724
31,14.535959834359042,84.58237562169677,13.322770197819125,668.7671979637512,2395.256992872379,1519.9981640910387,104.56813182010711,59.2987435733942,45.269388246712914
32,14.535959834359042,130.61734463111156,31.241131664456375,709.3970076021621,2421.498064235043,1998.7725555126322,137.5053713885532,89.03957884030959,48.4657925482436
32c,14.535959834359042,125.21266209501374,30.991131664456375,557.9447896066011,2042.2992010363635,1413.117698115621,97.21530013968504,48.79397406833951,48.42132607134554
33,14.535959834359042,125.21266209501374,30.991131664456375,557.9447896066011,2042.2992010363635,1413.117698115621,97.21530013968504,48.79397406833951,48.42132607134554
34,14.535959834359042,80.1260547967774,13.472770197819125,557.9447896066011,2080.550287151482,1250.1215340206509,86.00199424503808,40.70576749580359,45.296226749234485
41,1.0,120.21009132796223,2.0,504.7041850380444,1530.1740813513566,59.03443267864294,59.03443267864294,58.93558268957684,0.09884998906610508
42,1.0,120.21266209501312,2.1750000000000003,504.72738373191606,1530.1858764342837,59.05417364395452,59.05417364395452,58.937793087585014,0.11638055636950606
43,1.0,120.21009132796223,2.0,2706.230741339982,7126.894757487327,619.8823227713206,619.8823227713206,619.7834727822544,0.09884998906610508
