Connection,Kind,Energy Flow [kW],Exergy Flow [kW],C^TOT [EUR/h],c^TOT [EUR/GJ_ex]
e1,power,534.1,534.1,97.15,50.52
e2,power,238.4,238.4,43.37,50.52
e3,power,226.5,226.5,46.06,56.48
e4,power,295.7,295.7,53.78,50.52
e5,power,280.9,280.9,55.57,54.96
