Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,146.1,121.5,24.65,0,83.13,3.473,5.866,31.55,45.68,5.322,4.611,9.933,46.42,44.8,59.97,104.5
COMP2,526.8,449.5,77.34,0,85.32,10.9,18.4,111.6,153,16.38,11.5,27.88,41.26,37.08,58.83,94.52
IHX,70.31,53.85,16.46,0,76.59,2.319,3.917,26.44,38.64,6.189,5.844,12.03,48.57,90.81,104.5,199.3
MOT1,153.2,145.6,7.661,0,95,1.079,1.823,27.87,30.83,1.393,0,1.393,0,10.62,50.52,58.83
MOT2,554.6,526.8,27.73,0,95,3.906,6.598,100.9,111.6,5.043,0,5.043,0,10.62,50.52,58.83
SNK_HX,290.6,280.1,10.55,0,96.37,1.487,2.511,111.4,119.4,4.047,3.921,7.968,49.21,11.21,106.5,118.5
SRC_HX,22.97,7.485,15.48,0,32.59,2.181,3.684,29.19,36.81,19.68,1.639,21.32,7.688,286.9,353.1,1366
VAL1,51.16,23.53,27.63,0,45.99,3.893,6.576,19.24,29.91,10.39,0,10.39,0,238.1,104.5,353.1
VAL2,212.7,,212.7,0,,29.97,50.62,80.14,,80.14,0,80.14,0,inf,104.6,
TOT,709.8,280.1,420.2,9.522,39.45,59.2,100,128.7,156.3,76.22,27.52,103.7,26.53,207.6,50.38,155
