Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,178.9,154.5,24.36,0,86.38,4.178,8.451,37.96,48.19,5.17,3.368,8.538,39.44,26.95,58.96,86.65
COMP2,333.3,284.6,48.75,0,85.38,8.361,16.91,68.76,89.15,10.06,6.66,16.72,39.84,29.66,57.3,87.03
IHX,149.1,116.2,32.94,0,77.91,5.649,11.43,49.91,61.9,11.02,2.709,13.73,19.73,59.18,92.97,148
MOT1,188.3,178.9,9.414,0,95,1.615,3.266,34.25,37.96,1.712,1.064,2.776,38.33,10.85,50.52,58.96
MOT2,350.9,333.3,17.54,0,95,3.009,6.086,63.82,68.76,3.191,0,3.191,0,7.745,50.52,57.3
SNK_HX,290.8,280.1,10.77,0,96.3,1.847,3.736,110.9,117.9,4.107,3.998,8.106,49.33,10.43,105.9,117
SRC_HX,29.17,11.13,18.04,0,38.15,3.094,6.259,-2.373e-13,7.163,-1.468e-13,2.079,2.079,100,inf,-2.26e-12,178.8
VAL1,16.52,,16.52,0,,2.833,5.73,5.449,,5.449,0,5.449,0,inf,91.64,
VAL2,109.9,,109.9,0,,18.85,38.13,40.14,,40.14,0,40.14,0,inf,101.4,
TOT,583,280.1,288.3,14.73,48.03,49.44,100,98.06,117.9,48.48,19.88,68.36,29.08,150.4,46.72,117
