Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,168.1,140,28.15,0,83.26,4.572,8.232,34.75,45.94,5.816,4.478,10.29,43.5,32.21,57.4,91.14
COMP2,414.9,352.3,62.62,0,84.91,10.17,18.31,84.65,109.5,12.77,9.944,22.72,43.77,29.39,56.67,86.36
IHX,81.42,59.47,21.95,0,73.04,3.565,6.419,26.72,36.05,7.202,4.096,11.3,36.25,84.72,91.14,168.4
MOT1,176.3,167.5,8.817,0,95,1.432,2.578,32.07,34.17,1.604,0,1.604,0,6.556,50.52,56.67
MOT2,436.8,414.9,21.84,0,95,3.547,6.387,79.44,84.65,3.972,0,3.972,0,6.556,50.52,56.67
SNK_HX,272.9,261.9,11.05,0,95.95,1.794,3.23,97.15,103.5,3.932,3.687,7.619,48.39,11,98.88,109.8
SRC_HX,28.54,9.296,19.24,0,32.57,3.126,5.628,25.66,32.19,17.3,1.938,19.24,10.07,285.1,249.8,961.8
VAL1,58.58,29.17,29.4,0,49.8,4.776,8.599,19.22,26.23,9.647,0,9.647,0,174,91.14,249.8
VAL2,138.9,,138.9,0,,22.56,40.62,48.43,,48.43,0,48.43,0,inf,96.86,
TOT,615.6,261.9,341.9,11.83,42.54,55.54,100,111.5,135.7,61.94,24.14,86.08,28.05,186,50.32,143.9
