f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R717,R600,R717/R600,0.5,60.0,120.0,2.688,0.449,5000,88.824,48.849
R717,R600,R717/R600,0.5,60.0,120.0,2.688,0.449,5500,86.622,44.408
R717,R600,R717/R600,0.5,60.0,120.0,2.688,0.449,6000,84.787,40.708
R717,R600,R717/R600,0.5,60.0,120.0,2.688,0.449,6500,83.234,37.576
R717,R600,R717/R600,0.5,60.0,120.0,2.688,0.449,7000,81.903,34.892
R717,R600,R717/R600,0.5,60.0,120.0,2.688,0.449,7500,80.749,32.566
R717,R600a,R717/R600a,0.3,30.0,120.0,1.729,0.413,5000,127.128,53.788
R717,R600a,R717/R600a,0.3,30.0,120.0,1.729,0.413,5500,124.703,48.899
R717,R600a,R717/R600a,0.3,30.0,120.0,1.729,0.413,6000,122.682,44.824
R717,R600a,R717/R600a,0.3,30.0,120.0,1.729,0.413,6500,120.972,41.376
R717,R600a,R717/R600a,0.3,30.0,120.0,1.729,0.413,7000,119.506,38.42
R717,R600a,R717/R600a,0.3,30.0,120.0,1.729,0.413,7500,118.236,35.859
R717,R600a,R717/R600a,0.3,40.0,120.0,1.912,0.411,5000,116.159,51.132
R717,R600a,R717/R600a,0.3,40.0,120.0,1.912,0.411,5500,113.853,46.484
R717,R600a,R717/R600a,0.3,40.0,120.0,1.912,0.411,6000,111.932,42.61
R717,R600a,R717/R600a,0.3,40.0,120.0,1.912,0.411,6500,110.307,39.333
R717,R600a,R717/R600a,0.3,40.0,120.0,1.912,0.411,7000,108.914,36.523
R717,R600a,R717/R600a,0.3,40.0,120.0,1.912,0.411,7500,107.706,34.088
R717,R600a,R717/R600a,0.3,50.0,120.0,2.131,0.406,5000,105.715,48.837
R717,R600a,R717/R600a,0.3,50.0,120.0,2.131,0.406,5500,103.514,44.398
R717,R600a,R717/R600a,0.3,50.0,120.0,2.131,0.406,6000,101.679,40.698
R717,R600a,R717/R600a,0.3,50.0,120.0,2.131,0.406,6500,100.126,37.567
R717,R600a,R717/R600a,0.3,50.0,120.0,2.131,0.406,7000,98.796,34.884
R717,R600a,R717/R600a,0.3,50.0,120.0,2.131,0.406,7500,97.642,32.558
R717,R600a,R717/R600a,0.3,60.0,120.0,2.393,0.397,5000,95.809,46.864
R717,R600a,R717/R600a,0.3,60.0,120.0,2.393,0.397,5500,93.696,42.604
R717,R600a,R717/R600a,0.3,60.0,120.0,2.393,0.397,6000,91.936,39.054
R717,R600a,R717/R600a,0.3,60.0,120.0,2.393,0.397,6500,90.446,36.05
R717,R600a,R717/R600a,0.3,60.0,120.0,2.393,0.397,7000,89.169,33.475
R717,R600a,R717/R600a,0.3,60.0,120.0,2.393,0.397,7500,88.062,31.243
R717,R600a,R717/R600a,0.4,20.0,120.0,1.683,0.445,5000,130.146,54.429
R717,R600a,R717/R600a,0.4,20.0,120.0,1.683,0.445,5500,127.693,49.481
