Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,209.5,181.2,28.28,0,86.5,5.2,10.51,42.81,51.62,5.779,5.141,10.92,47.08,20.59,56.76,79.12
COMP2,304.6,258.6,46.01,0,84.9,8.46,17.1,60.4,74.95,9.124,8.575,17.7,48.45,24.09,55.08,80.51
IHX,131.5,88.95,42.52,0,67.66,7.818,15.81,37.45,45.01,12.11,2.038,14.15,14.41,77.64,79.12,140.6
MOT1,220.3,209.2,11.01,0,95,2.025,4.094,40.06,42.67,2.003,1.178,3.182,37.04,6.511,50.52,56.65
MOT2,320.6,304.6,16.03,0,95,2.948,5.96,58.32,60.4,2.916,0,2.916,0,3.569,50.52,55.08
SNK_HX,272.9,261.9,10.99,0,95.97,2.02,4.084,94.73,99.66,3.815,3.505,7.32,47.89,9.62,96.44,105.7
SRC_HX,31.35,10.03,21.32,0,31.99,3.919,7.924,16.39,21.25,11.15,2.09,13.24,15.79,305.2,145.3,588.6
VAL1,49.75,31.6,18.15,0,63.53,3.336,6.745,14.17,16.53,5.169,0,5.169,0,83.59,79.12,145.3
VAL2,74.7,,74.7,0,,13.73,27.77,25.23,,25.23,0,25.23,0,inf,93.82,
TOT,543.9,261.9,269,13.01,48.15,49.46,100,98.38,120.9,48.66,22.53,71.19,31.65,155.3,50.25,128.3
