Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,176.8,147.3,29.54,0,83.29,5.784,11.11,35.08,43.24,5.862,4.253,10.12,42.05,23.24,55.12,81.55
COMP2,295.7,249.9,45.8,0,84.51,8.967,17.22,58.66,72.43,9.087,7.718,16.8,45.92,23.46,55.11,80.52
IHX,105.1,80.01,25.06,0,76.15,4.906,9.424,30.85,38.25,7.357,4.096,11.45,35.76,62.84,81.55,132.8
MOT1,186.1,176.8,9.306,0,95,1.822,3.5,33.85,35.08,1.693,0,1.693,0,3.629,50.52,55.11
MOT2,311.2,295.7,15.56,0,95,3.047,5.852,56.61,58.66,2.83,0,2.83,0,3.629,50.52,55.11
SNK_HX,253.6,241.9,11.76,0,95.36,2.302,4.423,85.64,90.85,3.971,3.663,7.634,47.99,11.25,93.79,104.3
SRC_HX,22.68,0.02222,22.66,0,0.09797,4.436,8.521,16.35,21.6,16.33,2.264,18.59,12.18,1.348e+05,200.2,2.7e+05
VAL1,42.2,12.22,29.98,0,28.97,5.869,11.27,12.39,16.35,8.801,0,8.801,0,355.5,81.55,371.5
VAL2,76.24,,76.24,0,,14.93,28.67,25.04,,25.04,0,25.04,0,inf,91.24,
TOT,510.8,241.9,265.9,3.008,47.35,52.06,100,90.46,112.5,47.09,21.99,69.09,31.84,162.5,49.19,129.1
