Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,177.5,152.3,25.21,0,85.8,6.147,14.98,35.63,40.25,5.061,3.01,8.071,37.29,12.95,55.77,73.42
COMP2,132.5,112.1,20.49,0,84.54,4.996,12.18,25.82,32.2,3.991,5.08,9.071,56,24.73,54.11,79.84
IHX,194.8,160,34.78,0,82.14,8.481,20.68,41.05,45.99,7.33,2.731,10.06,27.14,36.41,58.54,79.85
MOT1,186.8,177.5,9.34,0,95,2.278,5.553,33.98,35.63,1.699,1.059,2.758,38.39,4.866,50.52,55.77
MOT2,139.5,132.5,6.976,0,95,1.701,4.147,25.38,25.82,1.269,0,1.269,0,1.75,50.52,54.11
SNK_HX,253.7,241.9,11.78,0,95.36,2.873,7.003,72.91,77.31,3.386,3.654,7.04,51.9,11.2,79.84,88.79
SRC_HX,83.77,57.13,26.64,0,68.2,6.496,15.84,-8.665e-14,4.124,-2.756e-14,2.428,2.428,100,inf,-2.873e-13,20.05
VAL1,14.62,,14.62,0,,3.564,8.689,3.323,,3.323,0,3.323,0,inf,63.16,
VAL2,18.38,,18.38,0,,4.483,10.93,5.284,,5.284,0,5.284,0,inf,79.84,
TOT,410.1,241.9,168.2,0,58.98,41.02,100,59.35,77.31,24.35,17.96,42.31,42.45,120.9,40.2,88.79
