Connection,Kind,Energy Flow [kW],Exergy Flow [kW],C^TOT [EUR/h],c^TOT [EUR/GJ_ex]
e1,power,570.4,570.4,103.7,50.52
e2,power,188.2,188.2,34.23,50.52
e3,power,178.8,178.8,35.81,55.65
e4,power,382.2,382.2,69.52,50.52
e5,power,363.1,363.1,72.74,55.65
