Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,270.2,228,42.14,0,84.4,7.656,16.99,54.76,68.49,8.541,4.738,13.28,35.68,25.08,56.3,83.44
COMP2,164.3,139.5,24.76,0,84.93,4.498,9.983,33.3,43.69,5.018,5.107,10.13,50.44,31.21,56.3,86.98
IHX,186.5,161.8,24.64,0,86.79,4.476,9.934,53.94,63.97,7.128,4.765,11.89,40.07,36.64,80.36,109.8
MOT1,284.4,270.2,14.22,0,95,2.583,5.733,51.73,54.76,2.586,0,2.586,0,5.867,50.52,56.3
MOT2,172.9,164.3,8.646,0,95,1.571,3.486,31.45,33.3,1.573,0,1.573,0,5.867,50.52,56.3
SNK_HX,272.9,261.9,11.04,0,95.95,2.006,4.453,97.84,103.8,3.959,3.632,7.592,47.85,10.6,99.59,110.1
SRC_HX,52.56,31.66,20.9,0,60.24,3.797,8.427,1.284e-13,6.871,5.106e-14,2.41,2.41,100,inf,6.786e-13,60.28
VAL1,73.24,,73.24,0,,13.31,29.53,21.42,,21.42,0,21.42,0,inf,81.25,
VAL2,28.43,,28.43,0,,5.165,11.46,9.812,,9.812,0,9.812,0,inf,95.88,
TOT,550.4,261.9,248,40.56,47.57,45.06,100,83.18,103.8,37.48,20.65,58.13,35.53,162.4,41.98,110.1
