Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
CC,2546,1754,792,0,68.89,30.73,39.94,147.3,147.3,45.83,0,45.83,0,45.16,16.07,23.33
GAS_HX,1675,483.8,1191,0,28.88,46.22,60.06,140.7,140.7,100.1,0,100.1,0,246.3,23.33,80.79
TOT,2577,483.8,1983,110.2,18.77,76.95,100,147.4,147.4,113.4,0,113.4,0,432.8,15.89,84.65
