Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,230.9,193.8,37.11,0,83.93,6.797,13.2,42,56.31,6.751,4.078,10.83,37.66,34.09,50.53,80.73
COMP2,275.1,233.6,41.48,0,84.92,7.596,14.75,50.03,68.11,7.544,6.639,14.18,46.81,36.14,50.52,80.99
IHX,132.1,101.6,30.42,0,76.96,5.572,10.82,38.38,49,8.842,2.231,11.07,20.15,65.9,80.73,133.9
MOT1,243,230.9,12.15,0,95,2.225,4.322,38.64,41.99,1.932,0,1.932,0,8.674,44.17,50.52
MOT2,289.6,275.1,14.48,0,95,2.652,5.15,46.04,50.03,2.302,0,2.302,0,8.674,44.17,50.52
SNK_HX,274.5,261.9,12.66,0,95.39,2.319,4.503,96.47,106.1,4.449,6.148,10.6,58.01,15.31,97.61,112.6
SRC_HX,22.96,,22.96,0,,4.205,8.166,31.57,,31.57,2.336,33.9,6.89,inf,381.9,
VAL1,59.06,9.743,49.31,0,16.5,9.032,17.54,17.16,30.77,14.33,0,14.33,0,986.5,80.73,877.1
VAL2,60.58,,60.58,0,,11.1,21.55,20.61,,20.61,0,20.61,0,inf,94.49,
TOT,546,261.9,281.2,2.994,47.96,51.49,100,84.68,106.1,43.6,21.43,65.03,32.95,161.3,43.08,112.6
