Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,285.8,240.1,45.69,0,84.01,8.422,16.28,55.82,65.28,8.924,6.116,15.04,40.67,16.96,54.26,75.53
COMP2,220,186.8,33.21,0,84.9,6.121,11.83,42.96,51.66,6.486,6.262,12.75,49.12,20.24,54.26,76.84
IHX,155,130.7,24.24,0,84.36,4.467,8.636,74.5,80.57,11.65,4.294,15.95,26.93,28.2,133.5,171.2
MOT1,300.8,285.8,15.04,0,95,2.772,5.359,54.71,55.82,2.736,0,2.736,0,2.016,50.52,54.26
MOT2,231.5,220,11.58,0,95,2.134,4.125,42.11,42.96,2.106,0,2.106,0,2.016,50.52,54.26
SNK_HX,272.9,261.9,11,0,95.97,2.028,3.921,114.9,119.3,4.635,3.584,8.219,43.61,8.184,117,126.6
SRC_HX,20.44,1.074e-06,20.44,0,5.256e-06,3.768,7.283,38.85,42.57,38.85,2.224,41.07,5.416,inf,528,1.101e+10
VAL1,85.13,10.27,74.86,0,12.07,13.8,26.67,33.36,38.85,29.33,0,29.33,0,865.1,108.9,1051
VAL2,44.6,,44.6,0,,8.22,15.89,17.31,,17.31,0,17.31,0,inf,107.8,
TOT,542.5,261.9,280.6,0,48.27,51.73,100,96.83,119.3,50.09,22.48,72.57,30.98,155.3,49.58,126.6
