Connection,E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,71.97096617087983,2.926876095746812,2.7278533330042847,0.199022762742527,0.0,2.2638141361497333e-14,2.2638141361497333e-14,0.0,1.2849390297906113e-12,8.737374159304066e-14
12,72.34860627304795,2.9422337579630855,2.728185475541395,0.21404828242169036,0.09360342482173709,4.234447396983254,4.3280508218049905,0.38758088571458865,223.47528453854258,16.617270204943043
13,22.037357285726983,0.8962032564615443,0.6971804937190172,0.199022762742527,0.023920104595636076,3.9372024390984763,3.9611225436941124,0.38758088571598887,223.47528453854514,49.929390508427794
21,764.5245009713284,114.6916275229287,5.149939174709783,109.54168834821891,29.874740474268968,259.6363616569765,289.5111021312454,241.73517445007482,98.76973559426074,105.18923918048321
22,1229.774583591706,184.4870220630826,69.25960374287027,115.22741832021234,181.82784898043764,273.11271267504395,454.9405616554816,109.400222550645,98.7697355942606,102.76060338517318
22c,909.0219904339491,136.36869898158,21.20035437578292,115.16834460579709,55.657477453708914,272.9726958055621,328.6301732592711,109.40022255064497,98.76973559426082,100.42238823629361
23,909.0219904339491,136.36869898158,21.20035437578292,115.16834460579709,55.65747745370893,272.9726958055621,328.6301732592711,109.40022255064501,98.76973559426082,100.42238823629361
24,752.5165372514053,112.89022952911098,3.313566447305522,109.57666308180546,8.699135239123232,259.71925897867436,268.4183942177976,109.40022255064505,98.76973559426072,99.08176281791086
31,1519.7656099313087,104.5495765560887,59.281229557108716,45.26834699897998,407.1841603416823,230.4132900675208,637.5974504092031,131.25529644160318,97.26487961077956,116.53797252291453
32,1998.806685476556,137.50435673662759,89.03856418838399,48.4657925482436,558.647287020171,246.68810453852822,805.3353915586991,119.89545234358573,97.26487961077956,111.91891494981483
32c,1413.1522554008807,97.2153001396851,48.793974068339566,48.42132607134554,306.1439892330008,246.46177272128676,552.6057619542876,119.89545234358576,97.26487961077954,108.62354000157795
33,1413.1522554008807,97.2153001396851,48.793974068339566,48.42132607134554,306.1439892330008,246.46177272128676,552.6057619542876,119.89545234358576,97.26487961077954,108.62354000157795
34,1250.027490272138,85.99342157592928,40.698236020476095,45.29518555545318,255.34957067863087,230.54989678076777,485.89946745939864,119.89545234358576,97.26487961077956,107.9752848194508
41,59.03443267864294,59.03443267864294,58.93558268957684,0.09884998906610508,0.0,0.0,0.0,0.0,0.0,0.0
42,59.05417364395452,59.05417364395452,58.937793087585014,0.11638055636950606,0.4673028838774219,3.7061581790216613,4.173461062899083,2.202429881276982,8845.879545316544,19.63103821727711
43,619.8823227713206,619.8823227713206,619.7834727822544,0.09884998906610508,277.6742615728933,3.1478943468046428,280.8221559196979,124.44949359419593,8845.879545316544,125.84026283149129
