Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg]
11,24.589686688638558,40.000000000008015,3.0000000000000004,167.79233926520203,572.2880530725018,71.97096617087976,2.926876095746812,2.7278533330042847,0.199022762742527
12,24.589686688638558,40.001341045781885,3.1500000000000004,167.81123463204878,572.3001209716336,72.34860627304788,2.9422337579630855,2.728185475541395,0.21404828242169036
13,24.589686688638558,30.000000000072077,3.0000000000000004,126.00369009555617,436.6647328256637,22.037357285726962,0.8962032564615443,0.6971804937190172,0.199022762742527
21,6.665913785367542,29.272887164288818,9.345745233442322,610.1290046134687,2384.547385464105,764.5245009713299,114.6916275229287,5.149939174709783,109.54168834821891
22,6.665913785367542,108.78065293963431,38.01269496090037,697.5208032027539,2444.5726423262267,1229.7745835917099,184.48702206308283,69.25960374287051,115.22741832021234
22c,6.665913785367542,85.10504566398112,37.712694960900365,455.90642471297366,1784.5144625265461,909.021990433944,136.36869898157897,21.200354375781696,115.16834460579726
23,6.665913785367542,85.10504566398112,37.712694960900365,455.90642471297366,1784.5144625265461,909.021990433944,136.36869898157897,21.200354375781696,115.16834460579726
24,6.665913785367542,25.000000000072077,9.520745233442323,455.90642471297366,1864.6047557295751,752.5165372514068,112.89022952911098,3.313566447305522,109.57666308180546
31,14.536315306030797,84.56119257218,13.31695083602626,668.7418232709605,2395.233730280627,1519.7656099313106,104.5495765560887,59.281229557108716,45.26834699897998
32,14.536315306030797,130.6164656159268,31.241131664456415,709.3933039831924,2421.4888915690217,1998.8066854765568,137.50435673662747,89.03856418838387,48.4657925482436
32c,14.536315306030797,125.21266209501385,30.991131664456415,557.9447896066011,2042.2992010363632,1413.1522554008825,97.2153001396851,48.793974068339566,48.42132607134554
33,14.536315306030797,125.21266209501385,30.991131664456415,557.9447896066011,2042.2992010363632,1413.1522554008825,97.2153001396851,48.793974068339566,48.42132607134554
34,14.536315306030797,80.10504566398112,13.46695083602626,557.9447896066011,2080.5795304368608,1250.0274902721396,85.99342157592928,40.698236020476095,45.29518555545318
41,1.0,120.21009132796223,2.0,504.7041850380444,1530.1740813513566,59.03443267864294,59.03443267864294,58.93558268957684,0.09884998906610508
42,1.0,120.21266209501312,2.1750000000000003,504.72738373191606,1530.1858764342837,59.05417364395452,59.05417364395452,58.937793087585014,0.11638055636950606
43,1.0,120.21009132796223,2.0,2706.230741339982,7126.894757487327,619.8823227713206,619.8823227713206,619.7834727822544,0.09884998906610508
