Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,236.2,205.2,31.04,0,86.86,5.938,12.04,47.81,55.61,6.283,4.518,10.8,41.83,16.32,56.23,75.3
COMP2,247.6,210.4,37.23,0,84.97,7.122,14.44,48.79,58.55,7.335,5.82,13.15,44.24,20,54.73,77.3
IHX,170.5,126.8,43.75,0,74.35,8.369,16.96,46.23,53.2,11.86,2.342,14.2,16.49,54.78,75.3,116.6
MOT1,248.6,236.2,12.43,0,95,2.378,4.821,45.22,47.81,2.261,1.275,3.536,36.05,5.727,50.52,56.23
MOT2,260.7,247.6,13.03,0,95,2.493,5.054,47.41,48.79,2.371,0,2.371,0,2.908,50.52,54.73
SNK_HX,273,261.9,11.18,0,95.91,2.139,4.335,91.25,96.21,3.736,3.78,7.516,50.29,9.94,92.83,102.1
SRC_HX,21.46,0.0004049,21.46,0,0.001887,4.105,8.321,11.89,16.3,11.89,2.145,14.03,15.29,7.268e+06,153.9,1.118e+07
VAL1,34.62,11,23.62,0,31.77,4.519,9.161,9.386,11.89,6.404,0,6.404,0,298.6,75.3,300.1
VAL2,64.14,,64.14,0,,12.27,24.87,20.5,,20.5,0,20.5,0,inf,88.76,
TOT,522.7,261.9,257.9,2.986,50.1,49.33,100,92.63,112.5,45.7,19.88,65.58,30.31,142.5,49.22,119.3
