Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,179.2,150.4,28.75,0,83.95,4.979,11.3,36.67,47.69,5.884,3.785,9.67,39.15,30.03,56.86,88.06
COMP2,280.9,239.5,41.34,0,85.28,7.16,16.26,57.5,74.77,8.462,6.885,15.35,44.86,30.05,56.86,86.71
IHX,143,121.9,21.11,0,85.24,3.655,8.299,43.02,53.22,6.349,4.887,11.24,43.49,45.1,83.57,121.3
MOT1,188.6,179.2,9.43,0,95,1.633,3.708,34.3,36.67,1.715,0,1.715,0,6.911,50.52,56.86
MOT2,295.7,280.9,14.78,0,95,2.56,5.813,53.78,57.5,2.689,0,2.689,0,6.911,50.52,56.86
SNK_HX,290.4,280.1,10.33,0,96.44,1.789,4.062,103.3,109.5,3.676,3.57,7.247,49.27,9.876,98.86,108.6
SRC_HX,50.11,31.02,19.09,0,61.91,3.306,7.506,-1.249e-14,7.106,-4.758e-15,2.307,2.307,100,inf,-6.923e-14,63.62
VAL1,38.44,,38.44,0,,6.657,15.11,11.77,,11.77,0,11.77,0,inf,85.05,
VAL2,71.06,,71.06,0,,12.31,27.94,24.64,,24.64,0,24.64,0,inf,96.33,
TOT,577.4,280.1,254.3,43.01,48.5,44.05,100,88.08,109.5,38.8,21.43,60.23,35.59,156.3,42.38,108.6
