Connection,Kind,Energy Flow [kW],Exergy Flow [kW],C^TOT [EUR/h],c^TOT [EUR/GJ_ex]
e1,power,461.4,461.4,83.92,50.52
e2,power,275.1,275.1,50.03,50.52
e3,power,261.3,261.3,52.9,56.24
e4,power,186.3,186.3,33.88,50.52
e5,power,177,177,35.83,56.24
