Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,261.3,220.1,41.23,0,84.22,8.161,16.37,52.93,66.15,8.352,4.536,12.89,35.2,24.98,56.26,83.49
COMP2,177,149.7,27.31,0,84.57,5.406,10.84,35.85,46.74,5.532,5.139,10.67,48.16,30.38,56.26,86.74
IHX,166.8,139,27.84,0,83.31,5.511,11.05,53.54,63.76,8.937,4.353,13.29,32.75,42.94,89.15,127.4
MOT1,275.1,261.3,13.75,0,95,2.722,5.459,50.03,52.93,2.502,0,2.502,0,5.79,50.52,56.26
MOT2,186.3,177,9.315,0,95,1.844,3.697,33.88,35.85,1.694,0,1.694,0,5.79,50.52,56.26
SNK_HX,253.7,241.9,11.86,0,95.33,2.346,4.706,97.82,104,4.57,3.732,8.302,44.95,11.58,107.1,119.5
SRC_HX,32.44,9.558,22.88,0,29.46,4.529,9.082,0,7.188,0,2.368,2.368,100,inf,0,208.9
VAL1,62.82,,62.82,0,,12.43,24.94,19.8,,19.8,0,19.8,0,inf,87.54,
VAL2,34.91,,34.91,0,,6.91,13.86,12.68,,12.68,0,12.68,0,inf,100.9,
TOT,505.3,241.9,251.9,11.46,47.87,49.86,100,83.92,104,41.84,20.13,61.97,32.48,159,46.13,119.5
