Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,290,252.8,37.19,0,87.18,7.687,15.38,57.45,63.59,7.367,5.005,12.37,40.46,10.69,55.03,69.87
COMP2,137.6,116.4,21.28,0,84.54,4.4,8.8,26.57,32.4,4.109,5.18,9.289,55.76,21.94,53.63,77.36
IHX,209.2,156.8,52.46,0,74.93,10.84,21.69,67.47,70.6,16.91,1.529,18.44,8.288,39.65,89.56,125.1
MOT1,305.3,290,15.26,0,95,3.155,6.311,55.53,57.45,2.776,1.457,4.233,34.42,3.464,50.52,55.03
MOT2,144.9,137.6,7.244,0,95,1.498,2.995,26.35,26.57,1.318,0,1.318,0,0.8398,50.52,53.63
SNK_HX,253.7,241.9,11.78,0,95.36,2.434,4.869,96.21,100.2,4.466,3.65,8.116,44.97,9.239,105.4,115.1
SRC_HX,45.62,3.755e-07,45.62,0,8.232e-07,9.43,18.86,13.5,16.41,13.5,1.518,15.02,10.11,inf,82.22,1.214e+10
VAL1,43.58,12.03,31.55,0,27.61,6.522,13.04,12.54,13.5,9.076,0,9.076,0,290,79.91,311.7
VAL2,19.49,,19.49,0,,4.028,8.056,6.794,,6.794,0,6.794,0,inf,96.85,
TOT,483.7,241.9,241.9,0,50,50,100,81.88,100.2,40.94,18.34,59.28,30.94,144.8,47.02,115.1
