Connection,E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,132.53512648776973,4.4159924559693975,4.216969693226871,0.199022762742527,0.0,-2.3418766925686896e-15,-2.3418766925686896e-15,0.0,-1.0890707620546844e-13,-4.9082935273867374e-15
12,132.99865353722987,4.431436904605756,4.217388622184066,0.21404828242169036,0.11759395395408867,4.217684738524628,4.335278692478717,0.2580692123542245,182.37159315654702,9.054558442631059
13,52.530134622608436,1.750273186828716,1.551250424086189,0.199022762742527,0.04325370206133558,3.9216164668140348,3.96487016887537,0.25806921235360814,182.3715931565466,20.96611464257683
21,483.3978284896967,330.7106209395337,37.313658383194124,293.3969625563396,16.333887908881106,115.58276771742713,131.91665562630826,83.18838375803767,74.86493005323604,75.80405473942531
22,881.9499620023576,603.3751133774789,302.99484067948816,300.3802726979908,120.99811521607887,118.33381976298496,239.33193497906385,75.88995908478329,74.8649300532357,75.37966541639496
22c,491.72236968796034,336.40575241605666,36.074309820366615,300.33144259569,14.405933402022919,118.31458330490295,132.72051670692588,75.88995908478337,74.86493005323622,74.97484855074505
23,491.72236968796034,336.40575241605666,36.074309820366615,300.33144259569,14.405933402022919,118.31458330490283,132.72051670692574,75.88995908478337,74.86493005323614,74.974848550745
24,444.6176507570946,304.17964396314943,10.754023779968149,293.42562018318125,4.294517376754546,115.59405729519823,119.88857467195277,75.88995908478321,74.86493005323604,74.90116912050824
31,1463.593158495898,484.70729174149864,186.05519140741683,298.6521003340818,200.41460155723607,239.68313535042654,440.09773690766264,99.09329026241639,73.82927189533619,83.52688085046296
32,1849.9145231828356,612.6477520615789,304.80351084966424,307.8442412119147,295.7160224736663,247.06028469482231,542.7763071684886,89.25068800667073,73.82927189533638,81.50170969861068
32c,1236.1514618619415,409.3840038697307,101.58020308363106,307.80380078609966,98.55166541298316,247.0278292456763,345.5794946586594,89.25068800667091,73.82927189533588,77.65577846525322
33,1236.1514618619415,409.3840038697307,101.58020308363106,307.80380078609966,98.55166541298316,247.02782924567626,345.5794946586594,89.25068800667091,73.82927189533586,77.6557784652532
34,1158.996675500196,383.8321711591104,85.15562035942789,298.6765507996825,82.61676932057348,239.702758062771,322.31952738334445,89.25068800667091,73.82927189533615,77.25061162258173
41,59.03443267864294,59.03443267864294,58.93558268957684,0.09884998906610508,0.0,0.0,0.0,0.0,0.0,0.0
42,59.05417364395452,59.05417364395452,58.937793087585014,0.11638055636950606,0.4671961673452608,3.7053118149992033,4.172507982344464,2.2019269190925685,8843.859438825533,19.626555137044683
43,619.8823227713206,619.8823227713206,619.7834727822544,0.09884998906610508,208.4239887848084,3.1471754717882665,211.57116425659666,93.41254645001598,8843.859438825531,94.80794287907972
