Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],e^CH [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^CH [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^CH [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
g1,1.037,20,1.013,293.6,6842,2.097,0,0,0,2.023,0,-0,-0,0,0,0,-0,0
g2,0.05012,20,1.013,898.8,6637,2575,5.332e-13,5.332e-13,0,5.138e+04,-0,-0,186.7,186.7,-0,0,20.14,20.14
g3,1.087,1793,1.013,2864,8940,1785,1614,1614,0,28.73,186.6,0,0.1044,186.7,29.56,0,0.9288,29.06
g4,1.087,227.8,1.013,788.1,7116,110.2,72.68,72.68,0,28.73,8.405,-0,0.1044,8.51,29.56,0,0.9288,21.45
w1,1,100,1.014,419.2,1307,41.36,38.86,38.86,9.316e-05,2.498,0,0,0,0,0,0,0,0
w2,1,100,1.014,2676,7354,525.1,522.6,522.6,9.316e-05,2.498,178.2,0,-0,186.7,94.73,0,-0,98.78
