Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
CC,2546,1754,792,0,68.89,30.73,39.94,186.6,186.6,58.06,0,58.06,0,45.16,20.36,29.56
GAS_HX,1675,483.8,1191,0,28.88,46.22,60.06,178.2,178.2,126.8,0,126.8,0,246.3,29.56,102.3
TOT,2577,483.8,1983,110.2,18.77,76.95,100,186.7,186.7,143.7,0,143.7,0,432.8,20.13,107.2
