Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,30,30,3,126,436.7,26.89,0.8962,0.6972,0.199,0,-0,0,0,-0,0
12,30,30,3.15,126,436.7,27.34,0.9114,0.6973,0.214,0.02327,2.146,2.17,0.3089,92.85,22.04
13,30,20.27,3,85.33,300.3,5.986,0.1995,0.0005257,0.199,1.754e-05,1.996,1.996,0.3089,92.85,92.6
21,5.834,19.39,7.194,599.7,2391,596.6,102.3,0.001187,102.3,0.02153,173.9,173.9,863.8,80.98,80.99
22,5.834,88.09,27.18,678.3,2435,980.2,168,54.93,113.1,93.43,192.3,285.8,80.98,80.98,80.98
22c,5.834,66.97,26.88,390.4,1605,720.4,123.5,10.46,113,17.8,192.2,210,80.98,80.98,80.98
23,5.834,66.97,26.88,390.4,1605,720.4,123.5,10.46,113,17.8,192.2,210,80.98,80.98,80.98
24,5.834,15.27,7.369,390.4,1662,622.9,106.8,3.364,103.4,61.03,175.9,236.9,863.8,80.98,105.7
31,9.795,66.07,6.55,682.1,2485,753,76.88,47.44,29.43,186,82.62,268.6,111.2,79.61,99.09
32,9.795,116,20.48,738.2,2514,1220,124.6,92.75,31.83,313.2,89.36,402.5,95.76,79.61,91.63
32c,9.795,115,20.23,510.6,1929,671.2,68.52,36.73,31.79,124,89.24,213.3,95.76,79.61,88.27
33,9.795,115,20.23,510.6,1929,671.2,68.52,36.73,31.79,124,89.24,213.3,95.76,79.61,88.27
34,9.795,62,6.7,510.6,1971,550,56.15,26.69,29.46,90.13,82.7,172.8,95.76,79.61,87.29
41,1,110,1.434,461.4,1419,48.39,48.39,48.34,0.04213,0,0,0,0,0,0
42,1,110,1.609,461.4,1419,48.41,48.41,48.35,0.05966,0.2021,1.815,2.017,1.161,8450,11.57
43,1,110,1.434,2691,7238,572.1,572.1,572.1,0.04213,207.7,1.282,210.9,100.8,8450,102.4
