Connection,Kind,Energy Flow [kW],Exergy Flow [kW],C^TOT [EUR/h],c^TOT [EUR/GJ_ex]
e1,power,526.2,526.2,95.71,50.52
e2,power,224.6,224.6,40.85,50.52
e3,power,213.3,213.3,44.58,58.05
e4,power,301.7,301.7,54.87,50.52
e5,power,286.6,286.6,59.89,58.05
