Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,303.8,255.2,48.57,0,84.01,9.212,17.02,59.01,68.01,9.435,6.395,15.83,40.4,15.24,53.97,74.02
COMP2,177,149.7,27.31,0,84.57,5.181,9.573,34.38,40.98,5.306,5.139,10.45,49.2,19.19,53.97,76.06
IHX,164.7,139,25.73,0,84.38,4.881,9.019,75.75,81.85,11.83,4.719,16.55,28.51,28.05,127.8,163.6
MOT1,319.8,303.8,15.99,0,95,3.033,5.604,58.16,59.01,2.908,0,2.908,0,1.47,50.52,53.97
MOT2,186.3,177,9.315,0,95,1.767,3.265,33.88,34.38,1.694,0,1.694,0,1.47,50.52,53.97
SNK_HX,253.7,241.9,11.86,0,95.33,2.249,4.155,109.4,113.8,5.114,3.732,8.846,42.19,9.086,119.8,130.7
SRC_HX,32.06,1.142e-06,32.06,0,3.562e-06,6.081,11.24,38.42,41.91,38.42,1.779,40.2,4.426,inf,332.9,1.02e+10
VAL1,90.49,10.92,79.57,0,12.07,15.09,27.89,34.17,38.42,30.04,0,30.04,0,831.9,104.9,977.4
VAL2,34.91,,34.91,0,,6.622,12.24,13.39,,13.39,0,13.39,0,inf,106.5,
TOT,527.2,241.9,285.3,0,45.88,54.12,100,92.04,113.8,49.81,21.76,71.58,30.41,169.5,48.5,130.7
