Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,168.1,144.3,23.82,0,85.83,4.241,8.305,34.93,42.56,4.949,3.216,8.165,39.39,21.84,57.7,81.91
COMP2,363.1,308.3,54.85,0,84.9,9.764,19.12,73.06,94,11.04,10.78,21.81,49.41,28.66,55.89,84.71
IHX,100.4,63.74,36.67,0,63.48,6.528,12.78,29.61,38.45,10.81,2.046,12.86,15.91,104.5,81.91,167.5
MOT1,176.7,167.9,8.836,0,95,1.573,3.08,32.14,34.8,1.607,1.021,2.628,38.85,8.27,50.52,57.58
MOT2,382.2,363.1,19.11,0,95,3.402,6.662,69.52,73.06,3.476,0,3.476,0,5.093,50.52,55.89
SNK_HX,272.9,261.9,10.99,0,95.97,1.956,3.83,97.67,103.2,3.933,3.503,7.436,47.11,10.1,99.43,109.5
SRC_HX,31.41,10.19,21.22,0,32.45,3.777,7.396,15.09,21.03,10.19,2.011,12.2,16.48,329.5,133.4,573
VAL1,43.91,31.68,12.24,0,72.13,2.178,4.266,12.95,15.22,3.608,0,3.608,0,62.9,81.91,133.4
VAL2,99.14,,99.14,0,,17.65,34.56,34.78,,34.78,0,34.78,0,inf,97.44,
TOT,561.7,261.9,286.9,12.97,46.62,51.07,100,101.7,124.2,51.92,22.58,74.5,30.3,162.1,50.27,131.8
