f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,Q_H_kW,c_P [EUR/GJ],Z_sum [EUR/h],PEC_total [kEUR],PEC [EUR/kW],V_dot_c1 [m3/h],V_dot_c2 [m3/h],E_F [kW],E_P [kW],E_D [kW],epsilon
R717,R600,R717/R600,0.5,60.0,100.0,3.452,0.43,V_OUT,1128.2,88.618,17.716,875.4,776.0,271.5,651.7,410.57,241.88,168.69,0.589
R717,R600,R717/R600,0.4,60.0,100.0,3.457,0.431,V_OUT,1128.2,88.79,17.961,887.5,786.7,264.9,716.3,410.09,241.88,168.21,0.59
R717,R600,R717/R600,0.3,60.0,100.0,3.449,0.43,V_OUT,1128.2,89.286,18.251,901.9,799.4,258.2,788.2,410.8,241.88,168.93,0.589
R717,R600a,R717/R600a,0.5,60.0,100.0,3.382,0.421,V_OUT,1128.2,89.815,17.526,866.0,767.6,268.6,562.9,416.8,241.88,174.93,0.58
R717,R600a,R717/R600a,0.4,60.0,100.0,3.371,0.42,V_OUT,1128.2,90.283,17.736,876.4,776.8,261.4,618.5,417.8,241.88,175.92,0.579
R717,R600a,R717/R600a,0.3,60.0,100.0,3.345,0.416,V_OUT,1128.2,91.113,17.991,889.0,788.0,254.0,680.2,420.16,241.88,178.29,0.576
R290,R600,R290/R600,0.3,60.0,100.0,3.212,0.399,V_OUT,1128.2,96.47,20.11,993.7,880.8,459.4,788.2,433.03,241.88,191.15,0.559
R1270,R600,R1270/R600,0.3,60.0,100.0,3.161,0.392,V_OUT,1128.2,96.745,19.326,955.0,846.5,394.2,788.2,438.2,241.88,196.32,0.552
R290,R600,R290/R600,0.4,60.0,100.0,3.141,0.39,V_OUT,1128.2,97.953,19.967,986.6,874.5,489.3,716.3,440.28,241.88,198.4,0.549
R717,R600,R717/R600,0.5,50.0,100.0,3.059,0.461,V_OUT,1128.2,98.201,18.436,911.0,807.5,326.6,733.6,427.07,241.88,185.2,0.566
R1270,R600,R1270/R600,0.4,60.0,100.0,3.079,0.381,V_OUT,1128.2,98.599,19.202,948.9,841.0,420.1,716.3,446.98,241.88,205.1,0.541
R290,R600a,R290/R600a,0.3,60.0,100.0,3.125,0.387,V_OUT,1128.2,98.65,20.232,999.8,886.1,452.1,680.2,442.0,241.88,200.13,0.547
R717,R600,R717/R600,0.4,50.0,100.0,3.056,0.46,V_OUT,1128.2,98.686,18.786,928.3,822.8,316.7,827.2,427.45,241.88,185.57,0.566
R1270,R600a,R1270/R600a,0.3,60.0,100.0,3.078,0.381,V_OUT,1128.2,98.773,19.328,955.1,846.6,388.0,680.2,447.11,241.88,205.23,0.541
R717,R600a,R717/R600a,0.5,50.0,100.0,2.992,0.45,V_OUT,1128.2,99.612,18.142,896.5,794.6,322.1,633.4,434.99,241.88,193.11,0.556
R717,R600,R717/R600,0.3,50.0,100.0,3.037,0.457,V_OUT,1128.2,99.674,19.22,949.7,841.8,306.5,934.5,429.67,241.88,187.79,0.563
R290,R600a,R290/R600a,0.4,60.0,100.0,3.073,0.381,V_OUT,1128.2,99.792,20.123,994.4,881.4,482.9,618.5,447.57,241.88,205.7,0.54
R1270,R600a,R1270/R600a,0.4,60.0,100.0,3.014,0.373,V_OUT,1128.2,100.286,19.24,950.7,842.7,414.7,618.5,454.2,241.88,212.33,0.533
R290,R600,R290/R600,0.5,60.0,100.0,3.041,0.376,V_OUT,1128.2,100.391,19.931,984.9,873.0,522.7,651.7,451.18,241.88,209.3,0.536
R717,R600a,R717/R600a,0.4,50.0,100.0,2.971,0.447,V_OUT,1128.2,100.497,18.435,911.0,807.4,311.1,713.5,437.47,241.88,195.6,0.553
R290,R600a,R290/R600a,0.5,60.0,100.0,2.99,0.37,V_OUT,1128.2,101.929,20.123,994.4,881.4,517.2,562.9,456.97,241.88,215.09,0.529
R717,R600a,R717/R600a,0.3,50.0,100.0,2.933,0.441,V_OUT,1128.2,101.945,18.806,929.3,823.7,299.8,804.9,442.1,241.88,200.22,0.547
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,V_OUT,1128.2,105.486,20.076,992.0,879.3,433.7,934.5,451.53,241.88,209.65,0.536
R290,R600,R290/R600,0.3,50.0,100.0,2.887,0.433,V_OUT,1128.2,105.753,20.995,1037.4,919.6,511.2,934.5,447.96,241.88,206.09,0.54
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,V_OUT,1128.2,106.696,19.754,976.1,865.2,466.1,827.2,458.67,241.88,216.8,0.527
R290,R600,R290/R600,0.4,50.0,100.0,2.84,0.426,V_OUT,1128.2,106.735,20.697,1022.7,906.5,549.7,827.2,453.95,241.88,212.07,0.533
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.77,0.415,V_OUT,1128.2,107.977,19.944,985.5,873.5,424.5,804.9,463.48,241.88,221.6,0.522
R717,R600,R717/R600,0.5,40.0,100.0,2.744,0.485,V_OUT,1128.2,108.087,19.345,955.9,847.3,398.4,827.2,444.89,241.88,203.02,0.544
R290,R600a,R290/R600a,0.3,50.0,100.0,2.796,0.419,V_OUT,1128.2,108.4,20.988,1037.1,919.3,500.2,804.9,459.97,241.88,218.1,0.526
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.737,0.41,V_OUT,1128.2,108.71,19.68,972.5,862.0,458.2,713.5,468.16,241.88,226.29,0.517
R290,R600a,R290/R600a,0.4,50.0,100.0,2.77,0.415,V_OUT,1128.2,108.902,20.746,1025.1,908.6,540.2,713.5,463.5,241.88,221.62,0.522
R290,R600,R290/R600,0.5,50.0,100.0,2.761,0.414,V_OUT,1128.2,108.957,20.544,1015.2,899.8,592.7,733.6,464.79,241.88,222.92,0.52
R717,R600,R717/R600,0.4,40.0,100.0,2.733,0.483,V_OUT,1128.2,108.989,19.83,979.9,868.5,383.7,957.8,446.51,241.88,204.63,0.542
R1270,R600,R1270/R600,0.5,50.0,100.0,2.716,0.407,V_OUT,1128.2,109.264,19.593,968.2,858.2,502.6,733.6,471.12,241.88,229.25,0.513
R717,R600a,R717/R600a,0.5,40.0,100.0,2.679,0.472,V_OUT,1128.2,109.72,18.94,935.9,829.6,391.4,713.5,454.67,241.88,212.8,0.532
R717,R600,R717/R600,0.3,40.0,100.0,2.705,0.477,V_OUT,1128.2,110.633,20.464,1011.2,896.3,368.5,1112.6,450.77,241.88,208.9,0.537
R290,R600a,R290/R600a,0.5,50.0,100.0,2.709,0.405,V_OUT,1128.2,110.709,20.645,1020.1,904.2,584.7,633.4,472.19,241.88,230.32,0.512
R1270,R600a,R1270/R600a,0.5,50.0,100.0,2.666,0.399,V_OUT,1128.2,110.864,19.572,967.2,857.3,495.8,633.4,478.46,241.88,236.58,0.506
R717,R600a,R717/R600a,0.4,40.0,100.0,2.65,0.467,V_OUT,1128.2,111.136,19.335,955.4,846.9,375.0,824.7,459.16,241.88,217.28,0.527
R717,R600a,R717/R600a,0.3,40.0,100.0,2.602,0.458,V_OUT,1128.2,113.371,19.863,981.5,870.0,357.9,955.5,466.75,241.88,224.87,0.518
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,V_OUT,1128.2,115.173,21.127,1044.0,925.3,485.4,1112.6,468.38,241.88,226.5,0.516
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,V_OUT,1128.2,115.594,20.582,1017.0,901.5,526.2,957.8,473.26,241.88,231.38,0.511
R290,R600,R290/R600,0.3,40.0,100.0,2.608,0.459,V_OUT,1128.2,115.817,22.153,1094.7,970.3,577.4,1112.6,465.89,241.88,224.01,0.519
R290,R600,R290/R600,0.4,40.0,100.0,2.583,0.455,V_OUT,1128.2,116.127,21.662,1070.4,948.8,627.0,957.8,469.96,241.88,228.08,0.515
R1270,R600,R1270/R600,0.5,40.0,100.0,2.496,0.439,V_OUT,1128.2,117.672,20.256,1000.9,887.2,571.8,827.2,484.67,241.88,242.8,0.499
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.492,0.438,V_OUT,1128.2,117.948,20.374,1006.8,892.4,514.6,824.7,485.33,241.88,243.45,0.498
R290,R600,R290/R600,0.5,40.0,100.0,2.522,0.443,V_OUT,1128.2,118.02,21.391,1057.0,936.9,682.2,827.2,480.22,241.88,238.35,0.504
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.501,0.44,V_OUT,1128.2,118.15,20.825,1029.1,912.1,471.8,955.5,483.85,241.88,241.98,0.5
R717,R600,R717/R600,0.5,30.0,100.0,2.486,0.503,V_OUT,1128.2,118.326,20.497,1012.9,897.8,493.3,934.5,467.22,241.88,222.22,0.518
R290,R600a,R290/R600a,0.4,40.0,100.0,2.511,0.441,V_OUT,1128.2,118.632,21.577,1066.2,945.1,613.0,824.7,482.08,241.88,240.2,0.502
R290,R600a,R290/R600a,0.3,40.0,100.0,2.515,0.442,V_OUT,1128.2,118.95,21.979,1086.1,962.6,561.1,955.5,481.41,241.88,239.54,0.502
