Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,283.4,238.4,44.98,0,84.13,6.738,11.93,57.65,71.01,9.15,6.966,16.12,43.22,23.17,56.51,82.74
COMP2,349.5,298.3,51.13,0,85.37,7.66,13.56,69.53,83.76,10.17,6.964,17.14,40.64,20.47,55.26,77.98
IHX,130.8,110,20.75,0,84.13,3.109,5.505,38.95,47.2,6.182,5.291,11.47,46.12,44.01,82.74,119.1
MOT1,297.4,282.5,14.87,0,95,2.228,3.944,54.1,56.21,2.705,0,2.705,0,3.908,50.52,55.26
MOT2,367.9,349.5,18.39,0,95,2.756,4.878,66.91,69.53,3.346,0,3.346,0,3.908,50.52,55.26
SNK_HX,290.8,280.1,10.75,0,96.3,1.61,2.85,94.07,99.59,3.476,3.993,7.469,53.46,9.93,89.86,98.78
SRC_HX,25.07,8.19,16.87,0,32.68,2.528,4.476,42.23,46.44,28.43,1.805,30.24,5.971,236.5,468,1575
VAL1,107.6,25.92,81.71,0,24.08,12.24,21.67,32.06,43.68,24.34,0,24.34,0,465.7,82.74,468
VAL2,117.6,,117.6,0,,17.61,31.18,36.88,,36.88,0,36.88,0,inf,87.14,
TOT,667.5,280.1,377,10.42,41.96,56.48,100,121,146,68.35,25.02,93.37,26.8,187.6,50.36,144.8
