Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,261.4,219.4,41.92,0,83.96,8.729,17.59,52.69,66.04,8.45,5.292,13.74,38.51,25.34,55.99,83.59
COMP2,163.7,138.3,25.34,0,84.52,5.277,10.63,32.99,43.58,5.108,5.721,10.83,52.83,32.11,55.99,87.52
IHX,166.4,140.8,25.59,0,84.62,5.329,10.74,53.32,62.6,8.199,4.353,12.55,34.68,38.72,89,123.5
MOT1,275.1,261.4,13.76,0,95,2.864,5.771,50.04,52.69,2.502,0,2.502,0,5.285,50.52,55.99
MOT2,172.3,163.7,8.614,0,95,1.794,3.614,31.33,32.99,1.567,0,1.567,0,5.285,50.52,55.99
SNK_HX,253.6,241.9,11.75,0,95.37,2.448,4.932,96.88,102.8,4.49,3.631,8.121,44.72,11.24,106.1,118
SRC_HX,32.83,9.257,23.57,0,28.2,4.909,9.89,2.654e-13,6.926,1.906e-13,2.394,2.394,100,inf,2.246e-12,207.8
VAL1,62.27,,62.27,0,,12.97,26.13,19.64,,19.64,0,19.64,0,inf,87.6,
VAL2,25.53,,25.53,0,,5.317,10.71,9.304,,9.304,0,9.304,0,inf,101.2,
TOT,480.2,241.9,238.3,0,50.37,49.63,100,81.38,102.8,40.39,21.39,61.78,34.62,150.7,47.07,118
