Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,163.1,139.7,23.4,0,85.65,4.648,10.18,33.66,41.14,4.829,3.584,8.413,42.6,22.21,57.32,81.79
COMP2,273.5,232.2,41.31,0,84.9,8.204,17.97,54.76,69.26,8.271,7.628,15.9,47.98,26.48,55.62,82.86
IHX,137.2,103.6,33.66,0,75.47,6.685,14.65,43.33,51.32,10.63,2.394,13.02,18.39,56.95,87.71,137.7
MOT1,171.7,163.1,8.585,0,95,1.705,3.736,31.23,33.66,1.562,1.002,2.564,39.09,7.784,50.52,57.32
MOT2,287.9,273.5,14.39,0,95,2.859,6.263,52.36,54.76,2.618,0,2.618,0,4.575,50.52,55.62
SNK_HX,272.9,261.9,10.99,0,95.97,2.183,4.782,98.59,104,3.971,3.534,7.505,47.09,9.865,100.4,110.3
SRC_HX,32.09,9.622,22.47,0,29.99,4.462,9.776,-2.436e-13,5.957,-1.705e-13,2.218,2.218,100,inf,-2.108e-12,172
VAL1,12.12,,12.12,0,,2.407,5.274,3.768,,3.768,0,3.768,0,inf,86.37,
VAL2,62.89,,62.89,0,,12.49,27.36,21.99,,21.99,0,21.99,0,inf,97.14,
TOT,503.5,261.9,229.8,11.82,52.01,45.64,100,83.59,104,38.15,20.36,58.51,34.79,139.1,46.12,110.3
