Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,198.9,171.1,27.74,0,86.05,5.708,11.51,40.33,47.76,5.625,4.482,10.11,44.35,18.42,56.33,77.52
COMP2,250.1,211.4,38.7,0,84.52,7.964,16.06,49.27,59.98,7.626,6.597,14.22,46.38,21.73,54.74,78.83
IHX,141.4,101.2,40.29,0,71.51,8.291,16.71,39.47,46.11,11.24,2.363,13.61,17.36,63.36,77.52,126.6
MOT1,209.3,198.9,10.47,0,95,2.154,4.342,38.07,40.33,1.904,1.14,3.044,37.45,5.913,50.52,56.33
MOT2,263.2,250.1,13.16,0,95,2.708,5.46,47.88,49.27,2.394,0,2.394,0,2.919,50.52,54.74
SNK_HX,253.7,241.9,11.79,0,95.35,2.425,4.89,86.74,91.69,4.031,3.69,7.72,47.79,10.85,94.99,105.3
SRC_HX,24.16,0.07402,24.08,0,0.3064,4.955,9.99,9.98,14.75,9.949,2.216,12.17,18.21,4.814e+04,114.8,5.537e+04
VAL1,29.69,13.7,15.99,0,46.15,3.289,6.632,8.284,9.982,4.461,0,4.461,0,161.1,77.52,202.4
VAL2,58.84,,58.84,0,,12.11,24.41,19.35,,19.35,0,19.35,0,inf,91.34,
TOT,486,241.9,241.1,3.059,49.77,49.6,100,85.95,106.4,42.63,20.49,63.12,32.46,148.8,49.13,122.2
