Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,245.3,213.7,31.62,0,87.11,5.672,11.18,49.99,59.29,6.442,5.367,11.81,45.45,18.6,56.6,77.06
COMP2,281.6,239.2,42.38,0,84.95,7.604,14.98,55.75,67.5,8.391,6.477,14.87,43.56,21.07,55,78.39
IHX,158.4,111.3,47.12,0,70.26,8.455,16.66,43.95,51.98,13.07,2.165,15.24,14.21,68.32,77.06,129.7
MOT1,258,245.1,12.9,0,95,2.314,4.56,46.92,49.83,2.346,1.306,3.652,35.76,6.201,50.52,56.48
MOT2,296.4,281.6,14.82,0,95,2.659,5.238,53.91,55.75,2.695,0,2.695,0,3.418,50.52,55
SNK_HX,273,261.9,11.14,0,95.92,1.999,3.938,93.93,99.08,3.833,3.761,7.595,49.53,9.966,95.58,105.1
SRC_HX,30.22,9.602,20.62,0,31.77,3.7,7.289,18.26,22.9,12.46,2.071,14.53,14.25,294.6,167.9,662.5
VAL1,55.28,30.48,24.8,0,55.14,4.45,8.767,15.33,18.42,6.88,0,6.88,0,117.8,77.06,167.9
VAL2,77.5,,77.5,0,,13.91,27.4,25.54,,25.54,0,25.54,0,inf,91.55,
TOT,557.4,261.9,282.9,12.59,46.98,50.76,100,100.8,122,51.18,21.15,72.33,29.24,157.5,50.25,129.4
