Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,189.9,160.1,29.8,0,84.31,6.233,13.78,37.98,46.09,5.961,3.254,9.214,35.31,21.36,55.57,79.99
COMP2,191.6,162.7,28.91,0,84.91,6.048,13.37,38.33,48.69,5.783,5.645,11.43,49.4,27.02,55.57,83.12
IHX,171.6,146.2,25.42,0,85.18,5.319,11.76,41.08,49.69,6.087,4.46,10.55,42.29,41.98,66.5,94.42
MOT1,199.9,189.9,9.993,0,95,2.09,4.623,36.35,37.98,1.818,0,1.818,0,4.481,50.52,55.57
MOT2,201.7,191.6,10.09,0,95,2.11,4.666,36.69,38.33,1.834,0,1.834,0,4.481,50.52,55.57
SNK_HX,272.9,261.9,11.02,0,95.96,2.306,5.099,87.08,92.48,3.517,3.609,7.126,50.65,10.68,88.64,98.1
SRC_HX,76.46,54.34,22.12,0,71.07,4.627,10.23,-1.983e-13,6.079,-5.736e-14,2.473,2.473,100,inf,-7.204e-13,31.07
VAL1,42.82,,42.82,0,,8.957,19.81,11.09,,11.09,0,11.09,0,inf,71.95,
VAL2,35.99,,35.99,0,,7.529,16.65,11.3,,11.3,0,11.3,0,inf,87.21,
TOT,478,261.9,216.2,0,54.78,45.22,100,73.04,92.48,33.03,19.44,52.47,37.05,131.1,42.44,98.1
