Connection,Kind,Energy Flow [kW],Exergy Flow [kW],C^TOT [EUR/h],c^TOT [EUR/GJ_ex]
e1,power,507.5,507.5,92.31,50.52
e2,power,173.5,173.5,31.55,50.52
e3,power,164.8,164.8,33.9,57.13
e4,power,334,334,60.76,50.52
e5,power,317.3,317.3,63.33,55.43
