Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,214.6,180.6,34.06,0,84.13,6.739,15.05,43.05,52.74,6.831,3.791,10.62,35.69,22.51,55.72,81.13
COMP2,177,149.7,27.31,0,84.57,5.405,12.07,35.5,45.37,5.478,5.139,10.62,48.4,27.8,55.72,84.2
IHX,165.8,139,26.78,0,83.84,5.3,11.84,46.02,55.24,7.436,4.574,12.01,38.09,43.14,77.13,110.4
MOT1,225.9,214.6,11.3,0,95,2.235,4.992,41.09,43.05,2.055,0,2.055,0,4.761,50.52,55.72
MOT2,186.3,177,9.315,0,95,1.843,4.116,33.88,35.5,1.694,0,1.694,0,4.761,50.52,55.72
SNK_HX,253.7,241.9,11.86,0,95.33,2.346,5.239,88.87,94.66,4.153,3.732,7.885,47.33,11.73,97.3,108.7
SRC_HX,55.93,32.15,23.78,0,57.48,4.706,10.51,-3.24e-14,6.562,-1.377e-14,2.444,2.444,100,inf,-1.609e-13,56.69
VAL1,46.97,,46.97,0,,9.295,20.76,13.28,,13.28,0,13.28,0,inf,78.53,
VAL2,34.91,,34.91,0,,6.909,15.43,11.73,,11.73,0,11.73,0,inf,93.31,
TOT,505.4,241.9,226.3,37.19,47.86,44.78,100,74.98,94.66,33.57,19.68,53.25,36.96,163.8,41.21,108.7
