Connection,Kind,Energy Flow [kW],Exergy Flow [kW],C^TOT [EUR/h],c^TOT [EUR/GJ_ex]
e1,power,477,477,86.77,50.52
e2,power,189.2,189.2,34.41,50.52
e3,power,179.7,179.7,36.58,56.54
e4,power,287.9,287.9,52.36,50.52
e5,power,273.5,273.5,55.67,56.54
