Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,179.7,150.1,29.66,0,83.5,5.831,12.02,36.58,47.72,6.037,4.327,10.36,41.75,30.46,56.54,88.34
COMP2,273.5,232.2,41.31,0,84.9,8.121,16.74,55.67,72.79,8.408,7.628,16.04,47.57,30.75,56.54,87.08
IHX,126.2,103.6,22.63,0,82.06,4.45,9.172,43.51,53.18,7.803,4.47,12.27,36.42,48.94,95.76,142.6
MOT1,189.2,179.7,9.458,0,95,1.86,3.833,34.41,36.58,1.72,0,1.72,0,6.316,50.52,56.54
MOT2,287.9,273.5,14.39,0,95,2.83,5.833,52.36,55.67,2.618,0,2.618,0,6.316,50.52,56.54
SNK_HX,272.9,261.9,10.99,0,95.97,2.161,4.454,103,109,4.147,3.534,7.681,46.01,10.33,104.8,115.7
SRC_HX,31.58,10.12,21.45,0,32.06,4.218,8.694,2.498e-14,7.232,1.697e-14,2.304,2.304,100,inf,2.197e-13,198.4
VAL1,33.98,,33.98,0,,6.68,13.77,11.45,,11.45,0,11.45,0,inf,93.58,
VAL2,62.89,,62.89,0,,12.36,25.48,22.99,,22.99,0,22.99,0,inf,101.6,
TOT,508.6,261.9,246.8,0,51.49,48.51,100,86.77,109,42.1,22.26,64.36,34.59,144.1,47.39,115.7
