Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,231.7,195.3,36.35,0,84.31,6.303,12.88,47.84,62.25,7.505,4.055,11.56,35.08,30.14,57.35,88.53
COMP2,274.5,234.1,40.4,0,85.28,7.005,14.32,56.67,74.93,8.341,6.734,15.07,44.67,32.21,57.35,88.91
IHX,149.1,124.9,24.16,0,83.79,4.189,8.563,50.5,61.53,8.186,4.139,12.33,33.58,45.41,94.12,136.9
MOT1,243.9,231.7,12.19,0,95,2.114,4.322,44.36,47.84,2.218,0,2.218,0,7.838,50.52,57.35
MOT2,288.9,274.5,14.45,0,95,2.505,5.12,52.56,56.67,2.628,0,2.628,0,7.838,50.52,57.35
SNK_HX,290.4,280.1,10.33,0,96.44,1.792,3.662,111.1,117.6,3.954,3.576,7.53,47.49,9.776,106.3,116.7
SRC_HX,29.38,11.23,18.15,0,38.22,3.147,6.433,1.37e-13,7.401,8.464e-14,2.226,2.226,100,inf,1.295e-12,183.1
VAL1,57.51,,57.51,0,,9.972,20.38,19.15,,19.15,0,19.15,0,inf,92.51,
VAL2,68.6,,68.6,0,,11.89,24.31,25.33,,25.33,0,25.33,0,inf,102.6,
TOT,576.7,280.1,282.1,14.52,48.56,48.92,100,96.91,117.6,47.41,20.73,68.14,30.42,150,46.68,116.7
