Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,219.7,185.7,33.99,0,84.53,5.43,11.33,45.89,60.68,7.1,3.537,10.64,33.25,32.21,58.02,90.75
COMP2,286.6,244.7,41.86,0,85.39,6.687,13.95,59.86,79.55,8.744,5.848,14.59,40.08,32.91,58.02,90.31
IHX,158.4,135,23.32,0,85.27,3.725,7.773,50.14,63.27,7.384,5.41,12.79,42.29,47.96,87.96,130.1
MOT1,231.3,219.7,11.56,0,95,1.847,3.855,42.07,45.89,2.103,0,2.103,0,9.095,50.52,58.02
MOT2,301.7,286.6,15.08,0,95,2.409,5.027,54.87,59.86,2.743,0,2.743,0,9.095,50.52,58.02
SNK_HX,290.9,280.1,10.85,0,96.27,1.733,3.615,110.4,118,4.116,4.014,8.131,49.37,11.03,105.4,117
SRC_HX,47.14,30.17,16.97,0,64.01,2.71,5.655,1.952e-14,7.876,7.024e-15,2.263,2.263,100,inf,1.15e-13,72.5
VAL1,57.53,,57.53,0,,9.189,19.18,18.41,,18.41,0,18.41,0,inf,88.87,
VAL2,88.84,,88.84,0,,14.19,29.61,32.42,,32.42,0,32.42,0,inf,101.4,
TOT,626,280.1,300,45.98,44.73,47.92,100,96.93,118,46.45,21.07,67.52,31.21,172.1,43.01,117
