Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,137.9,114.9,22.95,0,83.35,3.267,5.542,29.62,42.51,4.93,3.7,8.63,42.88,43.54,59.66,102.7
COMP2,526.8,449.5,77.34,0,85.32,11.01,18.68,112,154.5,16.44,11.5,27.94,41.17,37.94,59.04,95.45
IHX,71.37,53.85,17.52,0,75.46,2.494,4.23,26.4,38.34,6.478,4.923,11.4,43.18,92.47,102.7,197.7
MOT1,144.9,137.6,7.244,0,95,1.031,1.749,26.35,29.25,1.318,0,1.318,0,11.01,50.52,59.04
MOT2,554.6,526.8,27.73,0,95,3.948,6.696,100.9,112,5.043,0,5.043,0,11.01,50.52,59.04
SNK_HX,290.6,280.1,10.55,0,96.37,1.502,2.548,112.1,120.3,4.071,3.921,7.993,49.06,11.31,107.2,119.3
SRC_HX,18.41,5.262,13.15,0,28.57,1.872,3.176,25.72,32.86,18.37,1.863,20.24,9.208,347,388,1734
VAL1,43.57,18.68,24.89,0,42.86,3.544,6.011,16.11,26.09,9.207,0,9.207,0,277.7,102.7,388
VAL2,212.7,,212.7,0,,30.29,51.37,80.67,,80.67,0,80.67,0,inf,105.3,
TOT,702.4,280.1,414.1,8.247,39.87,58.96,100,127.2,153.1,75,25.91,100.9,25.68,201.9,50.31,151.9
