Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,235.7,204,31.65,0,86.57,6.607,13.52,47.31,54.37,6.353,4.724,11.08,42.65,14.93,55.77,74.04
COMP2,206.6,174.7,31.93,0,84.55,6.667,13.64,40.37,48.42,6.238,5.689,11.93,47.7,19.94,54.26,76.98
IHX,168.2,123,45.15,0,73.15,9.426,19.29,44.82,50.5,12.03,2.338,14.37,16.27,54.01,74.04,114
MOT1,248.1,235.7,12.4,0,95,2.589,5.299,45.12,47.31,2.256,1.273,3.529,36.07,4.854,50.52,55.76
MOT2,217.5,206.6,10.88,0,95,2.27,4.647,39.56,40.37,1.978,0,1.978,0,2.032,50.52,54.26
SNK_HX,253.7,241.9,11.82,0,95.34,2.468,5.052,84.86,89.45,3.955,3.715,7.67,48.44,10.56,92.92,102.7
SRC_HX,24.54,0.09408,24.45,0,0.3833,5.104,10.45,11.16,15.19,11.12,2.228,13.34,16.7,3.542e+04,126.3,4.486e+04
VAL1,35.84,14.09,21.75,0,39.31,4.541,9.294,9.553,11.16,5.798,0,5.798,0,197.2,74.04,220.1
VAL2,44.02,,44.02,0,,9.19,18.81,14.05,,14.05,0,14.05,0,inf,88.65,
TOT,479,241.9,234.1,3.079,50.49,48.86,100,84.68,104.6,41.38,19.97,61.34,32.55,144.7,49.11,120.2
