Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,266.4,223.2,43.25,0,83.77,8.457,16.23,51.86,60.46,8.419,5.973,14.39,41.5,16.57,54.07,75.25
COMP2,206.6,174.7,31.93,0,84.55,6.244,11.98,40.22,47.85,6.216,5.689,11.9,47.79,18.95,54.07,76.07
IHX,148.1,123,25.12,0,83.04,4.913,9.426,40.13,46.33,6.806,4.673,11.48,40.71,39.01,75.25,104.6
MOT1,280.4,266.4,14.02,0,95,2.742,5.261,51.01,51.86,2.55,0,2.55,0,1.666,50.52,54.07
MOT2,217.5,206.6,10.88,0,95,2.127,4.081,39.56,40.22,1.978,0,1.978,0,1.666,50.52,54.07
SNK_HX,253.7,241.9,11.82,0,95.34,2.312,4.436,80.69,85.12,3.76,3.715,7.476,49.7,10.65,88.35,97.76
SRC_HX,22.59,0.02133,22.57,0,0.09443,4.413,8.467,24.13,27.8,24.11,2.303,26.41,8.72,1.219e+05,296.8,3.621e+05
VAL1,75.03,12.13,62.9,0,16.17,12.3,23.6,20.33,24.14,17.04,0,17.04,0,634.4,75.25,552.6
VAL2,44.02,,44.02,0,,8.608,16.52,13.48,,13.48,0,13.48,0,inf,85.06,
TOT,511.4,241.9,266.5,3.007,47.3,52.12,100,90.57,112.9,47.2,22.35,69.56,32.14,163.6,49.2,129.7
