f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,e1_c [EUR/MWh],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600,R1270/R600,0.3,20.0,110.0,1.95,0.484,V_OUT,100.0,95.407,24.554
R1270,R600,R1270/R600,0.3,20.0,110.0,1.95,0.484,V_OUT,110.0,102.343,24.554
R1270,R600,R1270/R600,0.3,20.0,110.0,1.95,0.484,V_OUT,120.0,109.279,24.554
R1270,R600,R1270/R600,0.3,20.0,110.0,1.95,0.484,V_OUT,130.0,116.215,24.554
R1270,R600,R1270/R600,0.3,20.0,110.0,1.95,0.484,V_OUT,140.0,123.151,24.554
R1270,R600,R1270/R600,0.3,20.0,110.0,1.95,0.484,V_OUT,150.0,130.087,24.554
R1270,R600,R1270/R600,0.3,20.0,110.0,1.95,0.484,V_OUT,160.0,137.023,24.554
R1270,R600,R1270/R600,0.3,20.0,110.0,1.95,0.484,V_OUT,170.0,143.959,24.554
R1270,R600,R1270/R600,0.3,20.0,110.0,1.95,0.484,V_OUT,180.0,150.895,24.554
R1270,R600,R1270/R600,0.3,20.0,110.0,1.95,0.484,V_OUT,190.0,157.831,24.554
R1270,R600,R1270/R600,0.3,20.0,110.0,1.95,0.484,V_OUT,200.0,164.767,24.554
R1270,R600,R1270/R600,0.3,30.0,110.0,2.129,0.472,OK,100.0,87.538,22.616
R1270,R600,R1270/R600,0.3,30.0,110.0,2.129,0.472,OK,110.0,93.892,22.616
R1270,R600,R1270/R600,0.3,30.0,110.0,2.129,0.472,OK,120.0,100.247,22.616
R1270,R600,R1270/R600,0.3,30.0,110.0,2.129,0.472,OK,130.0,106.602,22.616
R1270,R600,R1270/R600,0.3,30.0,110.0,2.129,0.472,OK,140.0,112.957,22.616
R1270,R600,R1270/R600,0.3,30.0,110.0,2.129,0.472,OK,150.0,119.311,22.616
R1270,R600,R1270/R600,0.3,30.0,110.0,2.129,0.472,OK,160.0,125.666,22.616
R1270,R600,R1270/R600,0.3,30.0,110.0,2.129,0.472,OK,170.0,132.021,22.616
R1270,R600,R1270/R600,0.3,30.0,110.0,2.129,0.472,OK,180.0,138.376,22.616
R1270,R600,R1270/R600,0.3,30.0,110.0,2.129,0.472,OK,190.0,144.73,22.616
R1270,R600,R1270/R600,0.3,30.0,110.0,2.129,0.472,OK,200.0,151.085,22.616
R1270,R600,R1270/R600,0.3,40.0,110.0,2.132,0.445,OK,100.0,85.924,21.186
R1270,R600,R1270/R600,0.3,40.0,110.0,2.132,0.445,OK,110.0,92.27,21.186
R1270,R600,R1270/R600,0.3,40.0,110.0,2.132,0.445,OK,120.0,98.615,21.186
R1270,R600,R1270/R600,0.3,40.0,110.0,2.132,0.445,OK,130.0,104.96,21.186
R1270,R600,R1270/R600,0.3,40.0,110.0,2.132,0.445,OK,140.0,111.305,21.186
R1270,R600,R1270/R600,0.3,40.0,110.0,2.132,0.445,OK,150.0,117.65,21.186
R1270,R600,R1270/R600,0.3,40.0,110.0,2.132,0.445,OK,160.0,123.995,21.186
R1270,R600,R1270/R600,0.3,40.0,110.0,2.132,0.445,OK,170.0,130.34,21.186
R1270,R600,R1270/R600,0.3,40.0,110.0,2.132,0.445,OK,180.0,136.685,21.186
R1270,R600,R1270/R600,0.3,40.0,110.0,2.132,0.445,OK,190.0,143.03,21.186
R1270,R600,R1270/R600,0.3,40.0,110.0,2.132,0.445,OK,200.0,149.376,21.186
R1270,R600,R1270/R600,0.3,50.0,110.0,2.097,0.41,OK,100.0,83.893,18.278
R1270,R600,R1270/R600,0.3,50.0,110.0,2.097,0.41,OK,110.0,90.343,18.278
R1270,R600,R1270/R600,0.3,50.0,110.0,2.097,0.41,OK,120.0,96.794,18.278
R1270,R600,R1270/R600,0.3,50.0,110.0,2.097,0.41,OK,130.0,103.244,18.278
R1270,R600,R1270/R600,0.3,50.0,110.0,2.097,0.41,OK,140.0,109.694,18.278
R1270,R600,R1270/R600,0.3,50.0,110.0,2.097,0.41,OK,150.0,116.145,18.278
R1270,R600,R1270/R600,0.3,50.0,110.0,2.097,0.41,OK,160.0,122.595,18.278
R1270,R600,R1270/R600,0.3,50.0,110.0,2.097,0.41,OK,170.0,129.046,18.278
R1270,R600,R1270/R600,0.3,50.0,110.0,2.097,0.41,OK,180.0,135.496,18.278
R1270,R600,R1270/R600,0.3,50.0,110.0,2.097,0.41,OK,190.0,141.946,18.278
R1270,R600,R1270/R600,0.3,50.0,110.0,2.097,0.41,OK,200.0,148.397,18.278
R1270,R600,R1270/R600,0.4,20.0,110.0,1.968,0.488,OK,100.0,93.154,23.016
R1270,R600,R1270/R600,0.4,20.0,110.0,1.968,0.488,OK,110.0,100.028,23.016
R1270,R600,R1270/R600,0.4,20.0,110.0,1.968,0.488,OK,120.0,106.902,23.016
R1270,R600,R1270/R600,0.4,20.0,110.0,1.968,0.488,OK,130.0,113.776,23.016
R1270,R600,R1270/R600,0.4,20.0,110.0,1.968,0.488,OK,140.0,120.65,23.016
R1270,R600,R1270/R600,0.4,20.0,110.0,1.968,0.488,OK,150.0,127.524,23.016
R1270,R600,R1270/R600,0.4,20.0,110.0,1.968,0.488,OK,160.0,134.398,23.016
R1270,R600,R1270/R600,0.4,20.0,110.0,1.968,0.488,OK,170.0,141.272,23.016
R1270,R600,R1270/R600,0.4,20.0,110.0,1.968,0.488,OK,180.0,148.146,23.016
R1270,R600,R1270/R600,0.4,20.0,110.0,1.968,0.488,OK,190.0,155.02,23.016
R1270,R600,R1270/R600,0.4,20.0,110.0,1.968,0.488,OK,200.0,161.894,23.016
R1270,R600,R1270/R600,0.4,30.0,110.0,2.13,0.472,OK,100.0,86.449,21.611
R1270,R600,R1270/R600,0.4,30.0,110.0,2.13,0.472,OK,110.0,92.802,21.611
R1270,R600,R1270/R600,0.4,30.0,110.0,2.13,0.472,OK,120.0,99.154,21.611
R1270,R600,R1270/R600,0.4,30.0,110.0,2.13,0.472,OK,130.0,105.507,21.611
