f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R1270,R600,R1270/R600,0.3,20.0,110.0,1.95,0.484,V_OUT,COMP1,233120.4,209.11
R1270,R600,R1270/R600,0.3,20.0,110.0,1.95,0.484,V_OUT,COMP2,532607.1,477.75
R1270,R600,R1270/R600,0.3,20.0,110.0,1.95,0.484,V_OUT,IHX,173106.3,155.28
R1270,R600,R1270/R600,0.3,20.0,110.0,1.95,0.484,V_OUT,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,20.0,110.0,1.95,0.484,V_OUT,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,20.0,110.0,1.95,0.484,V_OUT,SNK_HX,173089.7,155.26
R1270,R600,R1270/R600,0.3,20.0,110.0,1.95,0.484,V_OUT,SRC_HX,101380.9,90.94
R1270,R600,R1270/R600,0.3,30.0,110.0,2.129,0.472,OK,COMP1,206177.6,184.94
R1270,R600,R1270/R600,0.3,30.0,110.0,2.129,0.472,OK,COMP2,444833.9,399.02
R1270,R600,R1270/R600,0.3,30.0,110.0,2.129,0.472,OK,IHX,184875.6,165.83
R1270,R600,R1270/R600,0.3,30.0,110.0,2.129,0.472,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,30.0,110.0,2.129,0.472,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,30.0,110.0,2.129,0.472,OK,SNK_HX,173089.7,155.26
R1270,R600,R1270/R600,0.3,30.0,110.0,2.129,0.472,OK,SRC_HX,108578.9,97.4
R1270,R600,R1270/R600,0.3,40.0,110.0,2.132,0.445,OK,COMP1,226917.5,203.55
R1270,R600,R1270/R600,0.3,40.0,110.0,2.132,0.445,OK,COMP2,376913.9,338.09
R1270,R600,R1270/R600,0.3,40.0,110.0,2.132,0.445,OK,IHX,184737.7,165.71
R1270,R600,R1270/R600,0.3,40.0,110.0,2.132,0.445,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,40.0,110.0,2.132,0.445,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,40.0,110.0,2.132,0.445,OK,SNK_HX,174635.5,156.65
R1270,R600,R1270/R600,0.3,40.0,110.0,2.132,0.445,OK,SRC_HX,83686.8,75.07
R1270,R600,R1270/R600,0.3,50.0,110.0,2.097,0.41,OK,COMP1,251285.8,225.4
R1270,R600,R1270/R600,0.3,50.0,110.0,2.097,0.41,OK,COMP2,322874.3,289.62
R1270,R600,R1270/R600,0.3,50.0,110.0,2.097,0.41,OK,IHX,82956.8,74.41
R1270,R600,R1270/R600,0.3,50.0,110.0,2.097,0.41,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,50.0,110.0,2.097,0.41,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,50.0,110.0,2.097,0.41,OK,SNK_HX,176576.8,158.39
R1270,R600,R1270/R600,0.3,50.0,110.0,2.097,0.41,OK,SRC_HX,69514.1,62.35
R1270,R600,R1270/R600,0.4,20.0,110.0,1.968,0.488,OK,COMP1,264398.7,237.17
R1270,R600,R1270/R600,0.4,20.0,110.0,1.968,0.488,OK,COMP2,423715.2,380.07
R1270,R600,R1270/R600,0.4,20.0,110.0,1.968,0.488,OK,IHX,173174.9,155.34
R1270,R600,R1270/R600,0.4,20.0,110.0,1.968,0.488,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.4,20.0,110.0,1.968,0.488,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.4,20.0,110.0,1.968,0.488,OK,SNK_HX,173207.1,155.37
R1270,R600,R1270/R600,0.4,20.0,110.0,1.968,0.488,OK,SRC_HX,102828.4,92.24
R1270,R600,R1270/R600,0.4,30.0,110.0,2.13,0.472,OK,COMP1,230147.3,206.44
R1270,R600,R1270/R600,0.4,30.0,110.0,2.13,0.472,OK,COMP2,368450.1,330.5
R1270,R600,R1270/R600,0.4,30.0,110.0,2.13,0.472,OK,IHX,184889.2,165.85
R1270,R600,R1270/R600,0.4,30.0,110.0,2.13,0.472,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.4,30.0,110.0,2.13,0.472,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.4,30.0,110.0,2.13,0.472,OK,SNK_HX,174919.3,156.9
R1270,R600,R1270/R600,0.4,30.0,110.0,2.13,0.472,OK,SRC_HX,109479.9,98.2
R1270,R600,R1270/R600,0.4,40.0,110.0,2.097,0.438,OK,COMP1,251285.8,225.4
R1270,R600,R1270/R600,0.4,40.0,110.0,2.097,0.438,OK,COMP2,322874.3,289.62
R1270,R600,R1270/R600,0.4,40.0,110.0,2.097,0.438,OK,IHX,82956.8,74.41
R1270,R600,R1270/R600,0.4,40.0,110.0,2.097,0.438,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.4,40.0,110.0,2.097,0.438,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.4,40.0,110.0,2.097,0.438,OK,SNK_HX,176576.8,158.39
R1270,R600,R1270/R600,0.4,40.0,110.0,2.097,0.438,OK,SRC_HX,83360.5,74.77
R1270,R600,R1270/R600,0.5,20.0,110.0,1.937,0.48,OK,COMP1,302659.6,271.49
R1270,R600,R1270/R600,0.5,20.0,110.0,1.937,0.48,OK,COMP2,344612.3,309.12
R1270,R600,R1270/R600,0.5,20.0,110.0,1.937,0.48,OK,IHX,80312.0,72.04
R1270,R600,R1270/R600,0.5,20.0,110.0,1.937,0.48,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.5,20.0,110.0,1.937,0.48,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.5,20.0,110.0,1.937,0.48,OK,SNK_HX,175759.6,157.66
R1270,R600,R1270/R600,0.5,20.0,110.0,1.937,0.48,OK,SRC_HX,102656.5,92.08
R1270,R600,R1270/R600,0.5,30.0,110.0,2.079,0.461,OK,COMP1,259114.4,232.43
R1270,R600,R1270/R600,0.5,30.0,110.0,2.079,0.461,OK,COMP2,309420.6,277.55
R1270,R600,R1270/R600,0.5,30.0,110.0,2.079,0.461,OK,IHX,83530.9,74.93
R1270,R600,R1270/R600,0.5,30.0,110.0,2.079,0.461,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.5,30.0,110.0,2.079,0.461,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.5,30.0,110.0,2.079,0.461,OK,SNK_HX,177105.1,158.86
R1270,R600,R1270/R600,0.5,30.0,110.0,2.079,0.461,OK,SRC_HX,108972.2,97.75
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.818,0.451,OK,COMP1,221272.4,198.48
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.818,0.451,OK,COMP2,491392.5,440.78
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.818,0.451,OK,IHX,202385.3,181.54
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.818,0.451,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.818,0.451,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.818,0.451,OK,SNK_HX,182170.6,163.41
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.818,0.451,OK,SRC_HX,95748.3,85.89
R1270,R600a,R1270/R600a,0.3,30.0,110.0,1.993,0.442,OK,COMP1,197869.6,177.49
R1270,R600a,R1270/R600a,0.3,30.0,110.0,1.993,0.442,OK,COMP2,411890.9,369.47
R1270,R600a,R1270/R600a,0.3,30.0,110.0,1.993,0.442,OK,IHX,215556.2,193.35
R1270,R600a,R1270/R600a,0.3,30.0,110.0,1.993,0.442,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.3,30.0,110.0,1.993,0.442,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.3,30.0,110.0,1.993,0.442,OK,SNK_HX,183619.4,164.71
R1270,R600a,R1270/R600a,0.3,30.0,110.0,1.993,0.442,OK,SRC_HX,103793.5,93.1
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.024,0.422,OK,COMP1,219742.9,197.11
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.024,0.422,OK,COMP2,349789.1,313.76
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.024,0.422,OK,IHX,212612.1,190.71
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.024,0.422,OK,MOT1,0.0,0.0
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.024,0.422,OK,MOT2,0.0,0.0
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.024,0.422,OK,SNK_HX,185074.3,166.01
