metric,value,unit
COP (= η_gas),0.9,-
ε (exergy efficiency),0.2057,-
E_F (fuel chemical exergy),1273.35,kW
E_P (steam exergy gain),261.87,kW
E_D (exergy destruction),957.03,kW
Q_H (steam duty),1114.82,kW
Q_gas (LHV thermal input),1238.69,kW
ṁ_CO2 (combustion),244.5307,kg/h
c_P (with CO2 charge),97.868,EUR/GJ_ex
Z_sum (retrofit ⇒ 0),0.0,EUR/h
