Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,197.2,170,27.24,0,86.19,5.5,12.28,35.39,42.43,4.889,3.705,8.594,43.11,19.89,49.85,69.35
COMP2,231.6,196.6,34.97,0,84.9,7.06,15.76,40.25,50.96,6.078,6.422,12.5,51.38,26.59,48.28,71.99
IHX,162.3,124.6,37.71,0,76.77,7.614,17,42.95,49.88,9.979,2.313,12.29,18.82,51.28,73.51,111.2
MOT1,207.6,197.2,10.38,0,95,2.096,4.679,33.01,35.39,1.65,1.114,2.765,40.31,7.227,44.17,49.85
MOT2,243.8,231.6,12.19,0,95,2.461,5.495,38.76,40.25,1.938,0,1.938,0,3.851,44.17,48.28
SNK_HX,272.9,261.9,11,0,95.97,2.221,4.959,86.17,91.03,3.474,3.512,6.986,50.28,10.08,87.72,96.56
SRC_HX,32.32,9.453,22.87,0,29.24,4.618,10.31,-1.249e-14,4.995,-8.837e-15,2.194,2.194,100,inf,-1.073e-13,146.8
VAL1,17.11,,17.11,0,,3.455,7.715,4.475,,4.475,0,4.475,0,inf,72.64,
VAL2,48.34,,48.34,0,,9.761,21.79,14.67,,14.67,0,14.67,0,inf,84.3,
TOT,495.3,261.9,221.8,11.58,52.88,44.79,100,71.76,91.03,32.14,19.26,51.4,37.47,139.9,40.25,96.56
