Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,183.5,154.5,29.05,0,84.17,4.991,11.23,37.52,48.02,5.938,3.336,9.274,35.97,28,56.79,86.36
COMP2,280.9,239.5,41.34,0,85.28,7.104,15.99,57.43,74.51,8.452,6.885,15.34,44.89,29.75,56.79,86.4
IHX,144.9,121.9,22.97,0,84.15,3.947,8.881,42.78,50.11,6.783,1.655,8.438,19.62,39.18,82.03,114.2
MOT1,193.2,183.5,9.658,0,95,1.66,3.735,35.13,37.52,1.757,0,1.757,0,6.783,50.52,56.79
MOT2,295.7,280.9,14.78,0,95,2.54,5.717,53.78,57.43,2.689,0,2.689,0,6.783,50.52,56.79
SNK_HX,290.4,280.1,10.33,0,96.44,1.775,3.995,100.5,106.7,3.576,3.57,7.147,49.96,9.999,96.17,105.8
SRC_HX,49.84,30.95,18.89,0,62.1,3.246,7.305,4.996e-14,6.959,1.894e-14,2.299,2.299,100,inf,2.785e-13,62.47
VAL1,40.53,,40.53,0,,6.964,15.67,12.19,,12.19,0,12.19,0,inf,83.58,
VAL2,71.06,,71.06,0,,12.21,27.48,24.08,,24.08,0,24.08,0,inf,94.13,
TOT,582,280.1,258.6,43.29,48.12,44.44,100,88.91,106.7,39.51,17.74,57.25,30.99,149.3,42.44,105.8
