f1,f2,ls,T_src,T_steam,no_solve_class,label_c1,label_c2,V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],binding,scale_k,m_steam [kg/s],m_steam [kg/h],Q_H [kW],W_el [kW],COP,p_low_c1 [bar],p_high_c1 [bar],T_disch_c1 [°C],p_low_c2 [bar],p_high_c2 [bar],T_disch_c2 [°C],p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,feasible,reason,status
R290,R600a,0.3,20,100,,R290,R600a,150.1,280.0,C2,0.1004,0.1004,361.3,226.4,112.17,2.019,5.34,18.97,70.7,5.74,22.03,106.7,True,True,True,True,True,True,True,,ok
R290,R600a,0.3,20,110,,R290,R600a,128.3,280.0,C2,0.0948,0.0948,341.1,211.3,118.38,1.785,5.34,20.19,74.0,6.21,26.27,117.1,True,True,True,True,True,True,True,,ok
R290,R600a,0.3,30,100,,R290,R600a,153.3,280.0,C2,0.1205,0.1205,433.9,272.0,121.88,2.231,7.14,21.9,75.8,6.87,22.03,107.1,True,True,True,True,True,True,True,,ok
R290,R600a,0.3,30,110,,R290,R600a,133.4,280.0,C2,0.1137,0.1137,409.4,253.6,129.4,1.96,7.14,23.25,79.2,7.4,26.27,117.5,True,True,True,True,True,True,True,,ok
R290,R600a,0.3,40,100,,R290,R600a,158.2,280.0,C2,0.144,0.144,518.6,325.0,130.78,2.485,9.35,25.16,81.5,8.15,22.03,107.5,True,True,True,True,True,True,True,,ok
R290,R600a,0.3,40,110,,R290,R600a,139.9,280.0,C2,0.1359,0.1359,489.2,303.0,139.95,2.165,9.35,26.66,84.9,8.74,26.27,117.9,True,True,True,True,True,True,True,,ok
R290,R600a,0.3,50,100,,R290,R600a,165.0,280.0,C2,0.1714,0.1714,617.2,386.8,138.62,2.791,12.0,28.78,87.7,9.59,22.03,108.0,True,True,True,True,True,True,True,,ok
R290,R600a,0.3,50,110,,R290,R600a,148.2,280.0,C2,0.1618,0.1618,582.3,360.7,149.86,2.407,12.0,30.44,91.2,10.26,26.27,118.3,True,True,True,True,True,True,True,,ok
R290,R600a,0.4,20,100,,R290,R600a,207.6,280.0,C2,0.1237,0.1237,445.2,279.1,136.06,2.051,5.34,22.34,79.5,7.04,22.03,107.2,True,True,True,True,True,True,True,,ok
R290,R600a,0.4,20,110,,R290,R600a,188.8,280.0,C2,0.1197,0.1197,431.0,266.9,145.51,1.834,5.34,24.19,84.0,7.77,26.27,117.6,True,True,True,True,True,True,True,,ok
R290,R600a,0.4,30,100,,R290,R600a,202.8,280.0,C2,0.144,0.144,518.6,325.0,144.44,2.25,7.14,25.16,83.7,8.15,22.03,107.5,True,True,True,True,True,True,True,,ok
R290,R600a,0.4,30,110,,R290,R600a,186.9,280.0,C2,0.1394,0.1394,501.7,310.7,155.66,1.996,7.14,27.18,88.2,8.95,26.27,117.9,True,True,True,True,True,True,True,,ok
R290,R600a,0.4,40,100,,R290,R600a,200.9,280.0,C2,0.1673,0.1673,602.2,377.4,151.74,2.487,9.35,28.24,88.4,9.37,22.03,108.0,True,True,True,True,True,True,True,,ok
R290,R600a,0.4,40,110,,R290,R600a,187.6,280.0,C2,0.1618,0.1618,582.3,360.7,165.16,2.184,9.35,30.44,92.9,10.26,26.27,118.3,True,True,True,True,True,True,True,,ok
R290,R600a,0.5,20,100,,R290,R600a,280.0,274.8,C1,0.1487,0.1487,535.2,335.4,164.2,2.043,5.34,26.15,88.4,8.54,22.03,107.7,True,True,True,True,True,True,True,,ok
R290,R600a,0.5,20,110,,R290,R600a,274.9,280.0,C2,0.1502,0.1502,540.7,334.9,182.23,1.838,5.34,28.78,93.9,9.59,26.27,118.1,True,True,True,True,True,True,True,,ok
R290,R600a,0.5,30,100,,R290,R600a,267.7,280.0,C2,0.1714,0.1714,617.2,386.8,173.57,2.229,7.14,28.78,91.5,9.59,22.03,108.0,True,True,True,True,True,True,True,,ok
R290,R600a,0.6,20,100,,R290,R600a,280.0,200.4,C1,0.1321,0.1321,475.5,298.0,149.9,1.988,5.34,30.44,97.2,10.26,22.03,108.2,True,True,True,True,True,True,True,,ok
R290,R600,0.3,20,100,,R290,R600,131.4,280.0,C2,0.0847,0.0847,304.8,191.1,90.71,2.106,5.34,18.97,70.7,4.08,17.05,105.8,True,True,True,True,True,True,True,,ok
R290,R600,0.3,20,110,,R290,R600,122.2,280.0,C2,0.084,0.084,302.6,187.4,98.23,1.908,5.34,20.19,74.0,4.43,20.48,115.7,True,True,True,True,True,True,True,,ok
R290,R600,0.3,20,120,,R290,R600,107.9,280.0,C2,0.0814,0.0814,292.9,179.1,104.38,1.716,5.34,21.46,77.3,4.81,24.42,125.6,True,True,True,True,True,True,True,,ok
R290,R600,0.3,30,100,,R290,R600,133.9,280.0,C2,0.1024,0.1024,368.6,231.0,99.52,2.321,7.14,21.9,75.8,4.94,17.05,105.9,True,True,True,True,True,True,True,,ok
R290,R600,0.3,30,110,,R290,R600,125.7,280.0,C2,0.1014,0.1014,365.1,226.1,108.38,2.087,7.14,23.25,79.2,5.35,20.48,115.7,True,True,True,True,True,True,True,,ok
R290,R600,0.3,30,120,,R290,R600,112.8,280.0,C2,0.098,0.098,352.9,215.9,115.69,1.866,7.14,24.67,82.6,5.78,24.42,125.6,True,True,True,True,True,True,True,,ok
R290,R600,0.3,40,100,,R290,R600,138.0,280.0,C2,0.123,0.123,442.8,277.6,107.71,2.577,9.35,25.16,81.5,5.93,17.05,106.4,True,True,True,True,True,True,True,,ok
R290,R600,0.3,40,110,,R290,R600,130.8,280.0,C2,0.1217,0.1217,438.1,271.3,118.21,2.295,9.35,26.66,84.9,6.39,20.48,116.0,True,True,True,True,True,True,True,,ok
R290,R600,0.3,40,120,,R290,R600,119.0,280.0,C2,0.1175,0.1175,423.1,258.8,126.97,2.038,9.35,28.24,88.4,6.88,24.42,126.1,True,True,True,True,True,True,True,,ok
R290,R600,0.3,50,100,,R290,R600,143.8,280.0,C2,0.147,0.147,529.1,331.6,115.06,2.882,12.0,28.78,87.7,7.05,17.05,106.9,True,True,True,True,True,True,True,,ok
R290,R600,0.3,50,110,,R290,R600,137.5,280.0,C2,0.1452,0.1452,522.9,323.8,127.58,2.538,12.0,30.44,91.2,7.57,20.48,116.5,True,True,True,True,True,True,True,,ok
R290,R600,0.4,20,100,,R290,R600,181.4,280.0,C2,0.1051,0.1051,378.5,237.2,111.97,2.119,5.34,22.34,79.5,5.07,17.05,106.0,True,True,True,True,True,True,True,,ok
