f1,f2,ls,T_src,T_steam,no_solve_class,label_c1,label_c2,V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],binding,scale_k,m_steam [kg/s],m_steam [kg/h],Q_H [kW],W_el [kW],COP,p_low_c1 [bar],p_high_c1 [bar],T_disch_c1 [°C],p_low_c2 [bar],p_high_c2 [bar],T_disch_c2 [°C],p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,feasible,reason,status
R290,R600a,0.5,30,110,,R290,R600a,261.0,280.0,C2,0.1699,0.1699,611.6,378.8,190.97,1.984,7.14,31.59,97.1,10.73,26.27,118.5,False,True,True,True,True,True,False,p_c1,ok
R290,R600a,0.5,30,120,,R290,R600a,233.7,280.0,C2,0.1587,0.1587,571.3,349.4,200.41,1.744,7.14,34.63,102.7,11.96,31.13,129.4,False,False,True,True,True,True,False,"p_c1, p_c2",ok
R290,R600a,0.5,40,100,,R290,R600a,255.4,280.0,C2,0.1937,0.1937,697.3,437.1,178.48,2.449,9.35,31.59,95.2,10.73,22.03,108.4,False,True,True,True,True,True,False,p_c1,ok
R290,R600a,0.5,40,110,,R290,R600a,251.9,280.0,C2,0.1919,0.1919,690.8,427.8,198.84,2.152,9.35,34.63,100.9,11.96,26.27,118.8,False,True,True,True,True,True,False,p_c1,ok
R290,R600a,0.5,40,120,,R290,R600a,230.1,280.0,C2,0.1793,0.1793,645.6,394.9,211.18,1.87,9.35,37.89,106.6,13.29,31.13,129.7,False,False,True,True,True,True,False,"p_c1, p_c2",ok
R290,R600a,0.5,50,100,,R290,R600a,247.2,280.0,C2,0.2185,0.2185,786.6,493.0,181.77,2.712,12.0,34.63,99.2,11.96,22.03,108.8,False,True,True,True,True,True,False,p_c1,ok
R290,R600a,0.5,50,110,,R290,R600a,247.2,280.0,C2,0.2164,0.2164,779.1,482.5,205.76,2.345,12.0,37.89,105.0,13.29,26.27,119.1,False,True,True,True,True,True,False,p_c1,ok
R290,R600a,0.5,50,120,convergence,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge
R290,R600a,0.6,20,100,,R290,R600a,280.0,200.4,C1,0.1321,0.1321,475.5,298.0,149.9,1.988,5.34,30.44,97.2,10.26,22.03,108.2,True,True,True,True,True,True,True,,ok
R290,R600a,0.6,20,110,,R290,R600a,280.0,196.3,C1,0.1313,0.1313,472.6,292.7,164.23,1.782,5.34,34.0,103.9,11.7,26.27,118.7,False,True,True,True,True,True,False,p_c1,ok
R290,R600a,0.6,20,120,,R290,R600a,280.0,206.8,C1,0.1325,0.1325,476.9,291.7,184.24,1.583,5.34,37.89,110.5,13.29,31.13,129.7,False,False,True,True,True,True,False,"p_c1, p_c2",ok
R290,R600a,0.6,30,100,,R290,R600a,280.0,221.6,C1,0.1609,0.1609,579.1,363.0,168.0,2.161,7.14,32.78,99.4,11.21,22.03,108.5,False,True,True,True,True,True,False,p_c1,ok
R290,R600a,0.6,30,110,,R290,R600a,280.0,214.6,C1,0.1581,0.1581,569.1,352.5,184.38,1.912,7.14,36.56,106.1,12.74,26.27,119.0,False,True,True,True,True,True,False,p_c1,ok
R290,R600a,0.6,30,120,convergence,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge
R290,R600a,0.6,40,100,,R290,R600a,280.0,240.8,C1,0.1925,0.1925,692.8,434.3,183.59,2.365,9.35,35.26,102.0,12.21,22.03,108.8,False,True,True,True,True,True,False,p_c1,ok
R290,R600a,0.6,40,110,,R290,R600a,280.0,230.4,C1,0.1868,0.1868,672.4,416.4,202.18,2.06,9.35,39.27,108.9,13.85,26.27,119.3,False,True,True,True,True,True,False,p_c1,ok
R290,R600a,0.6,40,120,convergence,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge
R290,R600a,0.6,50,100,,R290,R600a,280.0,257.7,C1,0.2265,0.2265,815.5,511.1,195.75,2.611,12.0,37.89,105.0,13.29,22.03,109.1,False,True,True,True,True,True,False,p_c1,ok
R290,R600a,0.6,50,110,convergence,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge
R290,R600a,0.6,50,120,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=97.0 °C ≥ T_crit=96.7 °C
R290,R600a,0.7,20,100,,R290,R600a,280.0,145.8,C1,0.1165,0.1165,419.4,262.8,139.68,1.882,5.34,35.26,106.1,12.21,22.03,108.8,False,True,True,True,True,True,False,p_c1,ok
R290,R600a,0.7,20,110,,R290,R600a,280.0,134.2,C1,0.1114,0.1114,401.0,248.3,149.63,1.66,5.34,39.98,113.9,14.14,26.27,119.3,False,True,True,True,True,True,False,p_c1,ok
R290,R600a,0.7,20,120,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: p_cond_c1=41.2 bar ≥ 0.95·p_crit=40.4 bar
R290,R600a,0.7,30,100,,R290,R600a,280.0,166.8,C1,0.1432,0.1432,515.5,323.1,158.21,2.042,7.14,37.22,107.3,13.01,22.03,109.1,False,True,True,True,True,True,False,p_c1,ok
