Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,181.7,150.9,30.83,0,83.04,6.297,12.6,35.76,43.89,6.066,5.032,11.1,45.34,22.73,54.66,80.78
COMP2,270.6,228.7,41.96,0,84.5,8.57,17.15,53.24,66.11,8.255,8.653,16.91,51.18,24.16,54.65,80.31
IHX,106.7,82.33,24.42,0,77.13,4.987,9.979,31.04,37.6,7.101,4.107,11.21,36.65,57.05,80.78,126.9
MOT1,191.3,181.7,9.565,0,95,1.954,3.909,34.79,35.75,1.74,0,1.74,0,2.759,50.52,54.65
MOT2,284.9,270.6,14.24,0,95,2.909,5.821,51.81,53.24,2.591,0,2.591,0,2.759,50.52,54.65
SNK_HX,253.6,241.9,11.72,0,95.38,2.394,4.79,84.91,89.64,3.924,3.553,7.477,47.52,10.69,93.01,102.9
SRC_HX,23.81,0.0646,23.75,0,0.2713,4.851,9.707,15.93,20.62,15.89,2.301,18.19,12.65,4.76e+04,185.8,8.864e+04
VAL1,44.17,13.36,30.8,0,30.25,6.292,12.59,12.84,15.94,8.958,0,8.958,0,310.1,80.78,331.3
VAL2,57.39,,57.39,0,,11.72,23.46,18.8,,18.8,0,18.8,0,inf,90.98,
TOT,489.6,241.9,244.7,3.05,49.4,49.97,100,86.61,110.3,43.28,23.65,66.93,35.33,157.7,49.14,126.6
