Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,222.8,186.4,36.37,0,83.68,7.457,14.8,43.64,51.39,7.123,4.697,11.82,39.74,17.75,54.41,76.57
COMP2,229.7,194.1,35.61,0,84.5,7.303,14.49,45,55.36,6.976,7.371,14.35,51.38,23.02,54.41,79.22
IHX,130.4,103.4,26.98,0,79.31,5.532,10.98,59.41,65.35,12.29,3.67,15.96,22.99,38.68,126.6,175.5
MOT1,234.5,222.8,11.73,0,95,2.405,4.772,42.66,43.64,2.133,0,2.133,0,2.307,50.52,54.41
MOT2,241.8,229.7,12.09,0,95,2.48,4.92,43.98,45,2.199,0,2.199,0,2.307,50.52,54.41
SNK_HX,253.6,241.9,11.73,0,95.38,2.405,4.771,103.8,108.3,4.798,3.582,8.38,42.75,9.461,113.7,124.4
SRC_HX,22.74,9.257e-07,22.74,0,4.071e-06,4.663,9.253,23.85,28.13,23.85,2.371,26.22,9.042,inf,291.3,8.441e+09
VAL1,56.06,11.46,44.6,0,20.45,9.146,18.15,20.11,23.85,16,0,16,0,480.1,99.63,578
VAL2,43.92,,43.92,0,,9.007,17.87,16.94,,16.94,0,16.94,0,inf,107.1,
TOT,487.6,241.9,245.8,0,49.6,50.4,100,86.64,108.3,43.67,21.69,65.36,33.19,152.1,49.36,124.4
